type,vertex1,vertex2,intensity, probability
1,84,85,0.5,0.8
1,84,84,0.25,0.8
1,84,85,0.5,0.8
1,85,84,0.5,0.8
1,85,85,1,0.8
1,84,85,0.5,0.8
1,86,87,1,0.8
1,86,86,1,0.8
1,86,87,1,0.8
1,87,86,1,0.8
1,87,87,1,0.8
1,86,87,1,0.8
1,88,89,0.25,0.8
1,88,88,0.25,0.8
1,88,89,0.25,0.8
1,89,88,0.25,0.8
1,89,89,0.25,0.8
1,88,89,0.25,0.8
1,90,91,0.5,0.8
1,90,90,0.25,0.8
1,90,91,0.5,0.8
1,91,90,0.5,0.8
1,91,91,1,0.8
1,90,91,0.5,0.8
1,92,93,0.5,0.8
1,92,92,0.25,0.8
1,92,93,0.5,0.8
1,93,92,0.5,0.8
1,93,93,1,0.8
1,92,93,0.5,0.8
1,94,95,1,0.8
1,94,94,1,0.8
1,94,95,1,0.8
1,95,94,1,0.8
1,95,95,1,0.8
1,94,95,1,0.8
1,96,97,1,0.8
1,96,96,1,0.8
1,96,97,1,0.8
1,97,96,1,0.8
1,97,97,1,0.8
1,96,97,1,0.8
1,98,99,0.5,0.8
1,98,98,1,0.8
1,98,99,0.5,0.8
1,99,98,0.5,0.8
1,99,99,0.25,0.8
1,98,99,0.5,0.8
1,100,101,0.25,0.8
1,100,100,0.25,0.8
1,100,101,0.25,0.8
1,101,100,0.25,0.8
1,101,101,0.25,0.8
1,100,101,0.25,0.8
1,102,103,0.25,0.8
1,102,102,0.25,0.8
1,102,103,0.25,0.8
1,103,102,0.25,0.8
1,103,103,0.25,0.8
1,102,103,0.25,0.8
1,104,105,0.5,0.8
1,104,104,0.25,0.8
1,104,105,0.5,0.8
1,105,104,0.5,0.8
1,105,105,1,0.8
1,104,105,0.5,0.8
1,106,107,0.5,0.8
1,106,106,1,0.8
1,106,107,0.5,0.8
1,107,106,0.5,0.8
1,107,107,0.25,0.8
1,106,107,0.5,0.8
1,108,109,1,0.8
1,108,108,1,0.8
1,108,109,1,0.8
1,109,108,1,0.8
1,109,109,1,0.8
1,108,109,1,0.8
1,110,111,0.5,0.8
1,110,110,0.25,0.8
1,110,111,0.5,0.8
1,111,110,0.5,0.8
1,111,111,1,0.8
1,110,111,0.5,0.8
1,112,113,0.25,0.8
1,112,112,0.25,0.8
1,112,113,0.25,0.8
1,113,112,0.25,0.8
1,113,113,0.25,0.8
1,112,113,0.25,0.8
1,114,115,0.5,0.8
1,114,114,1,0.8
1,114,115,0.5,0.8
1,115,114,0.5,0.8
1,115,115,0.25,0.8
1,114,115,0.5,0.8
1,116,117,0.5,0.8
1,116,116,1,0.8
1,116,117,0.5,0.8
1,117,116,0.5,0.8
1,117,117,0.25,0.8
1,116,117,0.5,0.8
1,118,119,1,0.8
1,118,118,1,0.8
1,118,119,1,0.8
1,119,118,1,0.8
1,119,119,1,0.8
1,118,119,1,0.8
1,120,121,1,0.8
1,120,120,1,0.8
1,120,121,1,0.8
1,121,120,1,0.8
1,121,121,1,0.8
1,120,121,1,0.8
1,122,123,0.5,0.8
1,122,122,1,0.8
1,122,123,0.5,0.8
1,123,122,0.5,0.8
1,123,123,0.25,0.8
1,122,123,0.5,0.8
1,124,125,0.5,0.8
1,124,124,1,0.8
1,124,125,0.5,0.8
1,125,124,0.5,0.8
1,125,125,0.25,0.8
1,124,125,0.5,0.8
1,126,127,1,0.8
1,126,126,1,0.8
1,126,127,1,0.8
1,127,126,1,0.8
1,127,127,1,0.8
1,126,127,1,0.8
1,128,129,1,0.8
1,128,128,1,0.8
1,128,129,1,0.8
1,129,128,1,0.8
1,129,129,1,0.8
1,128,129,1,0.8
1,130,131,0.5,0.8
1,130,130,0.25,0.8
1,130,131,0.5,0.8
1,131,130,0.5,0.8
1,131,131,1,0.8
1,130,131,0.5,0.8
1,132,133,0.25,0.8
1,132,132,0.25,0.8
1,132,133,0.25,0.8
1,133,132,0.25,0.8
1,133,133,0.25,0.8
1,132,133,0.25,0.8
1,134,135,1,0.8
1,134,134,1,0.8
1,134,135,1,0.8
1,135,134,1,0.8
1,135,135,1,0.8
1,134,135,1,0.8
1,136,137,0.5,0.8
1,136,136,0.25,0.8
1,136,137,0.5,0.8
1,137,136,0.5,0.8
1,137,137,1,0.8
1,136,137,0.5,0.8
1,138,139,0.5,0.8
1,138,138,0.25,0.8
1,138,139,0.5,0.8
1,139,138,0.5,0.8
1,139,139,1,0.8
1,138,139,0.5,0.8
1,140,141,0.5,0.8
1,140,140,1,0.8
1,140,141,0.5,0.8
1,141,140,0.5,0.8
1,141,141,0.25,0.8
1,140,141,0.5,0.8
1,142,143,0.5,0.8
1,142,142,1,0.8
1,142,143,0.5,0.8
1,143,142,0.5,0.8
1,143,143,0.25,0.8
1,142,143,0.5,0.8
1,144,145,0.5,0.8
1,144,144,1,0.8
1,144,145,0.5,0.8
1,145,144,0.5,0.8
1,145,145,0.25,0.8
1,144,145,0.5,0.8
1,146,147,0.5,0.8
1,146,146,1,0.8
1,146,147,0.5,0.8
1,147,146,0.5,0.8
1,147,147,0.25,0.8
1,146,147,0.5,0.8
1,148,149,0.25,0.8
1,148,148,0.25,0.8
1,148,149,0.25,0.8
1,149,148,0.25,0.8
1,149,149,0.25,0.8
1,148,149,0.25,0.8
1,150,151,1,0.8
1,150,150,1,0.8
1,150,151,1,0.8
1,151,150,1,0.8
1,151,151,1,0.8
1,150,151,1,0.8
1,152,153,0.5,0.8
1,152,152,1,0.8
1,152,153,0.5,0.8
1,153,152,0.5,0.8
1,153,153,0.25,0.8
1,152,153,0.5,0.8
1,154,155,0.5,0.8
1,154,154,0.25,0.8
1,154,155,0.5,0.8
1,155,154,0.5,0.8
1,155,155,1,0.8
1,154,155,0.5,0.8
1,156,157,0.5,0.8
1,156,156,0.25,0.8
1,156,157,0.5,0.8
1,157,156,0.5,0.8
1,157,157,1,0.8
1,156,157,0.5,0.8
1,158,159,0.5,0.8
1,158,158,1,0.8
1,158,159,0.5,0.8
1,159,158,0.5,0.8
1,159,159,0.25,0.8
1,158,159,0.5,0.8
1,160,161,0.5,0.8
1,160,160,1,0.8
1,160,161,0.5,0.8
1,161,160,0.5,0.8
1,161,161,0.25,0.8
1,160,161,0.5,0.8
1,162,163,0.25,0.8
1,162,162,0.25,0.8
1,162,163,0.25,0.8
1,163,162,0.25,0.8
1,163,163,0.25,0.8
1,162,163,0.25,0.8
1,164,165,0.25,0.8
1,164,164,0.25,0.8
1,164,165,0.25,0.8
1,165,164,0.25,0.8
1,165,165,0.25,0.8
1,164,165,0.25,0.8
1,166,167,0.5,0.8
1,166,166,1,0.8
1,166,167,0.5,0.8
1,167,166,0.5,0.8
1,167,167,0.25,0.8
1,166,167,0.5,0.8
1,168,169,0.5,0.8
1,168,168,0.25,0.8
1,168,169,0.5,0.8
1,169,168,0.5,0.8
1,169,169,1,0.8
1,168,169,0.5,0.8
1,170,171,0.5,0.8
1,170,170,1,0.8
1,170,171,0.5,0.8
1,171,170,0.5,0.8
1,171,171,0.25,0.8
1,170,171,0.5,0.8
1,172,173,0.5,0.8
1,172,172,1,0.8
1,172,173,0.5,0.8
1,173,172,0.5,0.8
1,173,173,0.25,0.8
1,172,173,0.5,0.8
1,174,175,0.5,0.8
1,174,174,1,0.8
1,174,175,0.5,0.8
1,175,174,0.5,0.8
1,175,175,0.25,0.8
1,174,175,0.5,0.8
1,176,177,0.5,0.8
1,176,176,1,0.8
1,176,177,0.5,0.8
1,177,176,0.5,0.8
1,177,177,0.25,0.8
1,176,177,0.5,0.8
1,178,179,0.5,0.8
1,178,178,1,0.8
1,178,179,0.5,0.8
1,179,178,0.5,0.8
1,179,179,0.25,0.8
1,178,179,0.5,0.8
1,180,181,1,0.8
1,180,180,1,0.8
1,180,181,1,0.8
1,181,180,1,0.8
1,181,181,1,0.8
1,180,181,1,0.8
1,182,183,0.25,0.8
1,182,182,0.25,0.8
1,182,183,0.25,0.8
1,183,182,0.25,0.8
1,183,183,0.25,0.8
1,182,183,0.25,0.8
1,184,185,0.5,0.8
1,184,184,1,0.8
1,184,185,0.5,0.8
1,185,184,0.5,0.8
1,185,185,0.25,0.8
1,184,185,0.5,0.8
1,186,187,1,0.8
1,186,186,1,0.8
1,186,187,1,0.8
1,187,186,1,0.8
1,187,187,1,0.8
1,186,187,1,0.8
1,188,189,0.5,0.8
1,188,188,0.25,0.8
1,188,189,0.5,0.8
1,189,188,0.5,0.8
1,189,189,1,0.8
1,188,189,0.5,0.8
1,190,191,0.5,0.8
1,190,190,0.25,0.8
1,190,191,0.5,0.8
1,191,190,0.5,0.8
1,191,191,1,0.8
1,190,191,0.5,0.8
1,192,193,1,0.8
1,192,192,1,0.8
1,192,193,1,0.8
1,193,192,1,0.8
1,193,193,1,0.8
1,192,193,1,0.8
1,194,195,0.5,0.8
1,194,194,1,0.8
1,194,195,0.5,0.8
1,195,194,0.5,0.8
1,195,195,0.25,0.8
1,194,195,0.5,0.8
1,196,197,1,0.8
1,196,196,1,0.8
1,196,197,1,0.8
1,197,196,1,0.8
1,197,197,1,0.8
1,196,197,1,0.8
1,198,199,0.5,0.8
1,198,198,0.25,0.8
1,198,199,0.5,0.8
1,199,198,0.5,0.8
1,199,199,1,0.8
1,198,199,0.5,0.8
1,200,201,0.5,0.8
1,200,200,1,0.8
1,200,201,0.5,0.8
1,201,200,0.5,0.8
1,201,201,0.25,0.8
1,200,201,0.5,0.8
1,202,203,0.5,0.8
1,202,202,0.25,0.8
1,202,203,0.5,0.8
1,203,202,0.5,0.8
1,203,203,1,0.8
1,202,203,0.5,0.8
1,204,205,0.5,0.8
1,204,204,1,0.8
1,204,205,0.5,0.8
1,205,204,0.5,0.8
1,205,205,0.25,0.8
1,204,205,0.5,0.8
1,206,207,0.25,0.8
1,206,206,0.25,0.8
1,206,207,0.25,0.8
1,207,206,0.25,0.8
1,207,207,0.25,0.8
1,206,207,0.25,0.8
1,208,209,0.5,0.8
1,208,208,1,0.8
1,208,209,0.5,0.8
1,209,208,0.5,0.8
1,209,209,0.25,0.8
1,208,209,0.5,0.8
1,210,211,1,0.8
1,210,210,1,0.8
1,210,211,1,0.8
1,211,210,1,0.8
1,211,211,1,0.8
1,210,211,1,0.8
1,212,213,0.25,0.8
1,212,212,0.25,0.8
1,212,213,0.25,0.8
1,213,212,0.25,0.8
1,213,213,0.25,0.8
1,212,213,0.25,0.8
1,214,215,1,0.8
1,214,214,1,0.8
1,214,215,1,0.8
1,215,214,1,0.8
1,215,215,1,0.8
1,214,215,1,0.8
1,216,217,0.5,0.8
1,216,216,0.25,0.8
1,216,217,0.5,0.8
1,217,216,0.5,0.8
1,217,217,1,0.8
1,216,217,0.5,0.8
1,218,219,0.5,0.8
1,218,218,0.25,0.8
1,218,219,0.5,0.8
1,219,218,0.5,0.8
1,219,219,1,0.8
1,218,219,0.5,0.8
1,220,221,0.5,0.8
1,220,220,0.25,0.8
1,220,221,0.5,0.8
1,221,220,0.5,0.8
1,221,221,1,0.8
1,220,221,0.5,0.8
1,222,223,0.5,0.8
1,222,222,1,0.8
1,222,223,0.5,0.8
1,223,222,0.5,0.8
1,223,223,0.25,0.8
1,222,223,0.5,0.8
1,224,225,0.5,0.8
1,224,224,1,0.8
1,224,225,0.5,0.8
1,225,224,0.5,0.8
1,225,225,0.25,0.8
1,224,225,0.5,0.8
1,226,227,0.5,0.8
1,226,226,1,0.8
1,226,227,0.5,0.8
1,227,226,0.5,0.8
1,227,227,0.25,0.8
1,226,227,0.5,0.8
1,228,229,0.5,0.8
1,228,228,0.25,0.8
1,228,229,0.5,0.8
1,229,228,0.5,0.8
1,229,229,1,0.8
1,228,229,0.5,0.8
1,230,231,1,0.8
1,230,230,1,0.8
1,230,231,1,0.8
1,231,230,1,0.8
1,231,231,1,0.8
1,230,231,1,0.8
1,232,233,0.5,0.8
1,232,232,0.25,0.8
1,232,233,0.5,0.8
1,233,232,0.5,0.8
1,233,233,1,0.8
1,232,233,0.5,0.8
1,234,235,1,0.8
1,234,234,1,0.8
1,234,235,1,0.8
1,235,234,1,0.8
1,235,235,1,0.8
1,234,235,1,0.8
1,236,237,1,0.8
1,236,236,1,0.8
1,236,237,1,0.8
1,237,236,1,0.8
1,237,237,1,0.8
1,236,237,1,0.8
1,238,239,0.5,0.8
1,238,238,1,0.8
1,238,239,0.5,0.8
1,239,238,0.5,0.8
1,239,239,0.25,0.8
1,238,239,0.5,0.8
1,240,241,1,0.8
1,240,240,1,0.8
1,240,241,1,0.8
1,241,240,1,0.8
1,241,241,1,0.8
1,240,241,1,0.8
1,242,243,1,0.8
1,242,242,1,0.8
1,242,243,1,0.8
1,243,242,1,0.8
1,243,243,1,0.8
1,242,243,1,0.8
1,244,245,1,0.8
1,244,244,1,0.8
1,244,245,1,0.8
1,245,244,1,0.8
1,245,245,1,0.8
1,244,245,1,0.8
1,246,247,0.5,0.8
1,246,246,0.25,0.8
1,246,247,0.5,0.8
1,247,246,0.5,0.8
1,247,247,1,0.8
1,246,247,0.5,0.8
1,248,249,0.5,0.8
1,248,248,1,0.8
1,248,249,0.5,0.8
1,249,248,0.5,0.8
1,249,249,0.25,0.8
1,248,249,0.5,0.8
1,250,251,0.5,0.8
1,250,250,0.25,0.8
1,250,251,0.5,0.8
1,251,250,0.5,0.8
1,251,251,1,0.8
1,250,251,0.5,0.8
1,252,253,0.5,0.8
1,252,252,0.25,0.8
1,252,253,0.5,0.8
1,253,252,0.5,0.8
1,253,253,1,0.8
1,252,253,0.5,0.8
1,254,255,1,0.8
1,254,256,0.5,0.8
1,254,254,1,0.8
1,254,255,1,0.8
1,254,256,0.5,0.8
1,255,256,0.5,0.8
1,255,254,1,0.8
1,255,255,1,0.8
1,255,256,0.5,0.8
1,256,254,0.5,0.8
1,256,255,0.5,0.8
1,256,256,0.25,0.8
1,254,255,1,0.8
1,254,256,0.5,0.8
1,255,256,0.5,0.8
1,257,258,0.5,0.8
1,257,259,0.5,0.8
1,257,257,1,0.8
1,257,258,0.5,0.8
1,257,259,0.5,0.8
1,258,259,0.25,0.8
1,258,257,0.5,0.8
1,258,258,0.25,0.8
1,258,259,0.25,0.8
1,259,257,0.5,0.8
1,259,258,0.25,0.8
1,259,259,0.25,0.8
1,257,258,0.5,0.8
1,257,259,0.5,0.8
1,258,259,0.25,0.8
1,260,261,1,0.8
1,260,262,1,0.8
1,260,260,1,0.8
1,260,261,1,0.8
1,260,262,1,0.8
1,261,262,1,0.8
1,261,260,1,0.8
1,261,261,1,0.8
1,261,262,1,0.8
1,262,260,1,0.8
1,262,261,1,0.8
1,262,262,1,0.8
1,260,261,1,0.8
1,260,262,1,0.8
1,261,262,1,0.8
1,263,264,0.5,0.8
1,263,265,0.25,0.8
1,263,263,0.25,0.8
1,263,264,0.5,0.8
1,263,265,0.25,0.8
1,264,265,0.5,0.8
1,264,263,0.5,0.8
1,264,264,1,0.8
1,264,265,0.5,0.8
1,265,263,0.25,0.8
1,265,264,0.5,0.8
1,265,265,0.25,0.8
1,263,264,0.5,0.8
1,263,265,0.25,0.8
1,264,265,0.5,0.8
1,266,267,0.5,0.8
1,266,268,0.5,0.8
1,266,266,0.25,0.8
1,266,267,0.5,0.8
1,266,268,0.5,0.8
1,267,268,1,0.8
1,267,266,0.5,0.8
1,267,267,1,0.8
1,267,268,1,0.8
1,268,266,0.5,0.8
1,268,267,1,0.8
1,268,268,1,0.8
1,266,267,0.5,0.8
1,266,268,0.5,0.8
1,267,268,1,0.8
1,269,270,1,0.8
1,269,271,0.5,0.8
1,269,269,1,0.8
1,269,270,1,0.8
1,269,271,0.5,0.8
1,270,271,0.5,0.8
1,270,269,1,0.8
1,270,270,1,0.8
1,270,271,0.5,0.8
1,271,269,0.5,0.8
1,271,270,0.5,0.8
1,271,271,0.25,0.8
1,269,270,1,0.8
1,269,271,0.5,0.8
1,270,271,0.5,0.8
1,272,273,0.5,0.8
1,272,274,0.5,0.8
1,272,272,0.25,0.8
1,272,273,0.5,0.8
1,272,274,0.5,0.8
1,273,274,1,0.8
1,273,272,0.5,0.8
1,273,273,1,0.8
1,273,274,1,0.8
1,274,272,0.5,0.8
1,274,273,1,0.8
1,274,274,1,0.8
1,272,273,0.5,0.8
1,272,274,0.5,0.8
1,273,274,1,0.8
1,275,276,0.5,0.8
1,275,277,0.25,0.8
1,275,275,0.25,0.8
1,275,276,0.5,0.8
1,275,277,0.25,0.8
1,276,277,0.5,0.8
1,276,275,0.5,0.8
1,276,276,1,0.8
1,276,277,0.5,0.8
1,277,275,0.25,0.8
1,277,276,0.5,0.8
1,277,277,0.25,0.8
1,275,276,0.5,0.8
1,275,277,0.25,0.8
1,276,277,0.5,0.8
1,278,279,1,0.8
1,278,280,1,0.8
1,278,278,1,0.8
1,278,279,1,0.8
1,278,280,1,0.8
1,279,280,1,0.8
1,279,278,1,0.8
1,279,279,1,0.8
1,279,280,1,0.8
1,280,278,1,0.8
1,280,279,1,0.8
1,280,280,1,0.8
1,278,279,1,0.8
1,278,280,1,0.8
1,279,280,1,0.8
1,281,282,0.5,0.8
1,281,283,1,0.8
1,281,281,1,0.8
1,281,282,0.5,0.8
1,281,283,1,0.8
1,282,283,0.5,0.8
1,282,281,0.5,0.8
1,282,282,0.25,0.8
1,282,283,0.5,0.8
1,283,281,1,0.8
1,283,282,0.5,0.8
1,283,283,1,0.8
1,281,282,0.5,0.8
1,281,283,1,0.8
1,282,283,0.5,0.8
1,284,285,1,0.8
1,284,286,1,0.8
1,284,284,1,0.8
1,284,285,1,0.8
1,284,286,1,0.8
1,285,286,1,0.8
1,285,284,1,0.8
1,285,285,1,0.8
1,285,286,1,0.8
1,286,284,1,0.8
1,286,285,1,0.8
1,286,286,1,0.8
1,284,285,1,0.8
1,284,286,1,0.8
1,285,286,1,0.8
1,287,288,1,0.8
1,287,289,1,0.8
1,287,287,1,0.8
1,287,288,1,0.8
1,287,289,1,0.8
1,288,289,1,0.8
1,288,287,1,0.8
1,288,288,1,0.8
1,288,289,1,0.8
1,289,287,1,0.8
1,289,288,1,0.8
1,289,289,1,0.8
1,287,288,1,0.8
1,287,289,1,0.8
1,288,289,1,0.8
1,290,291,0.5,0.8
1,290,292,1,0.8
1,290,290,1,0.8
1,290,291,0.5,0.8
1,290,292,1,0.8
1,291,292,0.5,0.8
1,291,290,0.5,0.8
1,291,291,0.25,0.8
1,291,292,0.5,0.8
1,292,290,1,0.8
1,292,291,0.5,0.8
1,292,292,1,0.8
1,290,291,0.5,0.8
1,290,292,1,0.8
1,291,292,0.5,0.8
1,293,294,1,0.8
1,293,295,0.5,0.8
1,293,293,1,0.8
1,293,294,1,0.8
1,293,295,0.5,0.8
1,294,295,0.5,0.8
1,294,293,1,0.8
1,294,294,1,0.8
1,294,295,0.5,0.8
1,295,293,0.5,0.8
1,295,294,0.5,0.8
1,295,295,0.25,0.8
1,293,294,1,0.8
1,293,295,0.5,0.8
1,294,295,0.5,0.8
1,296,297,1,0.8
1,296,298,1,0.8
1,296,296,1,0.8
1,296,297,1,0.8
1,296,298,1,0.8
1,297,298,1,0.8
1,297,296,1,0.8
1,297,297,1,0.8
1,297,298,1,0.8
1,298,296,1,0.8
1,298,297,1,0.8
1,298,298,1,0.8
1,296,297,1,0.8
1,296,298,1,0.8
1,297,298,1,0.8
1,299,300,1,0.8
1,299,301,0.5,0.8
1,299,299,1,0.8
1,299,300,1,0.8
1,299,301,0.5,0.8
1,300,301,0.5,0.8
1,300,299,1,0.8
1,300,300,1,0.8
1,300,301,0.5,0.8
1,301,299,0.5,0.8
1,301,300,0.5,0.8
1,301,301,0.25,0.8
1,299,300,1,0.8
1,299,301,0.5,0.8
1,300,301,0.5,0.8
1,302,303,0.25,0.8
1,302,304,0.25,0.8
1,302,302,0.25,0.8
1,302,303,0.25,0.8
1,302,304,0.25,0.8
1,303,304,0.25,0.8
1,303,302,0.25,0.8
1,303,303,0.25,0.8
1,303,304,0.25,0.8
1,304,302,0.25,0.8
1,304,303,0.25,0.8
1,304,304,0.25,0.8
1,302,303,0.25,0.8
1,302,304,0.25,0.8
1,303,304,0.25,0.8
1,305,306,1,0.8
1,305,307,1,0.8
1,305,305,1,0.8
1,305,306,1,0.8
1,305,307,1,0.8
1,306,307,1,0.8
1,306,305,1,0.8
1,306,306,1,0.8
1,306,307,1,0.8
1,307,305,1,0.8
1,307,306,1,0.8
1,307,307,1,0.8
1,305,306,1,0.8
1,305,307,1,0.8
1,306,307,1,0.8
1,308,309,1,0.8
1,308,310,0.5,0.8
1,308,308,1,0.8
1,308,309,1,0.8
1,308,310,0.5,0.8
1,309,310,0.5,0.8
1,309,308,1,0.8
1,309,309,1,0.8
1,309,310,0.5,0.8
1,310,308,0.5,0.8
1,310,309,0.5,0.8
1,310,310,0.25,0.8
1,308,309,1,0.8
1,308,310,0.5,0.8
1,309,310,0.5,0.8
1,311,312,0.5,0.8
1,311,313,1,0.8
1,311,311,1,0.8
1,311,312,0.5,0.8
1,311,313,1,0.8
1,312,313,0.5,0.8
1,312,311,0.5,0.8
1,312,312,0.25,0.8
1,312,313,0.5,0.8
1,313,311,1,0.8
1,313,312,0.5,0.8
1,313,313,1,0.8
1,311,312,0.5,0.8
1,311,313,1,0.8
1,312,313,0.5,0.8
1,314,315,0.5,0.8
1,314,316,0.5,0.8
1,314,314,0.25,0.8
1,314,315,0.5,0.8
1,314,316,0.5,0.8
1,315,316,1,0.8
1,315,314,0.5,0.8
1,315,315,1,0.8
1,315,316,1,0.8
1,316,314,0.5,0.8
1,316,315,1,0.8
1,316,316,1,0.8
1,314,315,0.5,0.8
1,314,316,0.5,0.8
1,315,316,1,0.8
1,317,318,0.5,0.8
1,317,319,1,0.8
1,317,317,1,0.8
1,317,318,0.5,0.8
1,317,319,1,0.8
1,318,319,0.5,0.8
1,318,317,0.5,0.8
1,318,318,0.25,0.8
1,318,319,0.5,0.8
1,319,317,1,0.8
1,319,318,0.5,0.8
1,319,319,1,0.8
1,317,318,0.5,0.8
1,317,319,1,0.8
1,318,319,0.5,0.8
1,320,321,0.5,0.8
1,320,322,0.5,0.8
1,320,320,1,0.8
1,320,321,0.5,0.8
1,320,322,0.5,0.8
1,321,322,0.25,0.8
1,321,320,0.5,0.8
1,321,321,0.25,0.8
1,321,322,0.25,0.8
1,322,320,0.5,0.8
1,322,321,0.25,0.8
1,322,322,0.25,0.8
1,320,321,0.5,0.8
1,320,322,0.5,0.8
1,321,322,0.25,0.8
1,323,324,0.5,0.8
1,323,325,1,0.8
1,323,323,1,0.8
1,323,324,0.5,0.8
1,323,325,1,0.8
1,324,325,0.5,0.8
1,324,323,0.5,0.8
1,324,324,0.25,0.8
1,324,325,0.5,0.8
1,325,323,1,0.8
1,325,324,0.5,0.8
1,325,325,1,0.8
1,323,324,0.5,0.8
1,323,325,1,0.8
1,324,325,0.5,0.8
1,326,327,1,0.8
1,326,328,1,0.8
1,326,326,1,0.8
1,326,327,1,0.8
1,326,328,1,0.8
1,327,328,1,0.8
1,327,326,1,0.8
1,327,327,1,0.8
1,327,328,1,0.8
1,328,326,1,0.8
1,328,327,1,0.8
1,328,328,1,0.8
1,326,327,1,0.8
1,326,328,1,0.8
1,327,328,1,0.8
1,329,330,1,0.8
1,329,331,0.5,0.8
1,329,329,1,0.8
1,329,330,1,0.8
1,329,331,0.5,0.8
1,330,331,0.5,0.8
1,330,329,1,0.8
1,330,330,1,0.8
1,330,331,0.5,0.8
1,331,329,0.5,0.8
1,331,330,0.5,0.8
1,331,331,0.25,0.8
1,329,330,1,0.8
1,329,331,0.5,0.8
1,330,331,0.5,0.8
1,332,333,0.25,0.8
1,332,334,0.5,0.8
1,332,332,0.25,0.8
1,332,333,0.25,0.8
1,332,334,0.5,0.8
1,333,334,0.5,0.8
1,333,332,0.25,0.8
1,333,333,0.25,0.8
1,333,334,0.5,0.8
1,334,332,0.5,0.8
1,334,333,0.5,0.8
1,334,334,1,0.8
1,332,333,0.25,0.8
1,332,334,0.5,0.8
1,333,334,0.5,0.8
1,335,336,0.5,0.8
1,335,337,1,0.8
1,335,335,1,0.8
1,335,336,0.5,0.8
1,335,337,1,0.8
1,336,337,0.5,0.8
1,336,335,0.5,0.8
1,336,336,0.25,0.8
1,336,337,0.5,0.8
1,337,335,1,0.8
1,337,336,0.5,0.8
1,337,337,1,0.8
1,335,336,0.5,0.8
1,335,337,1,0.8
1,336,337,0.5,0.8
1,338,339,0.5,0.8
1,338,340,1,0.8
1,338,338,1,0.8
1,338,339,0.5,0.8
1,338,340,1,0.8
1,339,340,0.5,0.8
1,339,338,0.5,0.8
1,339,339,0.25,0.8
1,339,340,0.5,0.8
1,340,338,1,0.8
1,340,339,0.5,0.8
1,340,340,1,0.8
1,338,339,0.5,0.8
1,338,340,1,0.8
1,339,340,0.5,0.8
1,341,342,1,0.8
1,341,343,1,0.8
1,341,341,1,0.8
1,341,342,1,0.8
1,341,343,1,0.8
1,342,343,1,0.8
1,342,341,1,0.8
1,342,342,1,0.8
1,342,343,1,0.8
1,343,341,1,0.8
1,343,342,1,0.8
1,343,343,1,0.8
1,341,342,1,0.8
1,341,343,1,0.8
1,342,343,1,0.8
1,344,345,1,0.8
1,344,346,1,0.8
1,344,344,1,0.8
1,344,345,1,0.8
1,344,346,1,0.8
1,345,346,1,0.8
1,345,344,1,0.8
1,345,345,1,0.8
1,345,346,1,0.8
1,346,344,1,0.8
1,346,345,1,0.8
1,346,346,1,0.8
1,344,345,1,0.8
1,344,346,1,0.8
1,345,346,1,0.8
1,347,348,1,0.8
1,347,349,1,0.8
1,347,347,1,0.8
1,347,348,1,0.8
1,347,349,1,0.8
1,348,349,1,0.8
1,348,347,1,0.8
