type,sex, age, ecactivity, worktype, commutetime, town,x,y
78,F,42,working,eatinghousing,not commuting,586021,-564854,-1.20183e+06
79,M,30,working,health,not commuting,586021,-564929,-1.2017e+06
80,M,46,working,publicsector,not commuting,586021,-564891,-1.20162e+06
81,F,79,working,health,not commuting,586021,-565663,-1.20218e+06
82,M,61,retired,undef,not commuting,586021,-565669,-1.20197e+06
83,F,58,working,industry,not commuting,586021,-565669,-1.20197e+06
84,F,68,retired,undef,not commuting,586021,-565716,-1.20177e+06
85,F,20,at home,undef,not commuting,586021,-565366,-1.20154e+06
86,F,22,at home,undef,not commuting,586021,-565366,-1.20154e+06
87,F,2,at home,undef,not commuting,586021,-564636,-1.20262e+06
88,F,26,at home,undef,not commuting,586021,-564636,-1.20262e+06
89,M,25,working,transportation,not commuting,586021,-564636,-1.20262e+06
90,M,17,working,tradeandmoto,not commuting,586021,-563751,-1.20307e+06
91,M,28,working,industry,less than 15min,586021,-564317,-1.20314e+06
92,F,24,at home,undef,not commuting,586021,-564317,-1.20314e+06
93,F,2,at home,undef,not commuting,586021,-564317,-1.20314e+06
94,F,44,working,tradeandmoto,not commuting,586021,-563697,-1.20248e+06
95,M,2,at home,undef,not commuting,586021,-564410,-1.20182e+06
96,F,28,working,construction,not commuting,586021,-564410,-1.20182e+06
97,M,20,at home,undef,not commuting,586021,-563720,-1.20166e+06
98,F,43,working,industry,not commuting,586021,-563720,-1.20166e+06
99,M,24,at home,undef,not commuting,586021,-563720,-1.20166e+06
100,M,22,at home,undef,not commuting,586021,-563720,-1.20166e+06
101,F,73,retired,undef,not commuting,586021,-563575,-1.20175e+06
102,M,65,retired,undef,not commuting,586021,-563667,-1.20164e+06
103,F,54,working,transportation,not commuting,586021,-563667,-1.20164e+06
104,F,36,working,tradeandmoto,not commuting,586021,-563667,-1.20164e+06
105,F,50,working,health,45 to 60 mins,586021,-562821,-1.20161e+06
106,M,11,student,undef,not commuting,586021,-562821,-1.20161e+06
107,F,22,at home,undef,not commuting,586021,-562821,-1.20161e+06
108,M,51,working,industry,not commuting,586021,-562821,-1.20161e+06
109,M,29,working,adminetc,not commuting,586021,-562821,-1.20161e+06
110,F,67,retired,undef,not commuting,586021,-563661,-1.20221e+06
111,F,74,working,industry,less than 15min,586021,-563521,-1.20176e+06
112,M,43,working,agriculture,not commuting,586021,-563521,-1.20176e+06
113,M,75,retired,undef,not commuting,586021,-563521,-1.20176e+06
114,F,4,at home,undef,not commuting,586021,-565851,-1.20205e+06
115,F,29,working,eatinghousing,not commuting,586021,-565851,-1.20205e+06
116,M,38,working,construction,not commuting,586021,-564457,-1.2023e+06
117,F,32,working,adminetc,not commuting,586021,-564457,-1.2023e+06
118,F,8,student,undef,not commuting,586021,-564457,-1.2023e+06
119,M,2,at home,undef,not commuting,586021,-564457,-1.2023e+06
120,F,37,working,industry,not commuting,586021,-565843,-1.20173e+06
121,M,7,student,undef,not commuting,586021,-565843,-1.20173e+06
122,F,79,retired,undef,not commuting,586021,-565843,-1.20173e+06
123,M,25,working,publicsector,not commuting,586021,-565331,-1.20165e+06
124,M,48,working,health,not commuting,586021,-565331,-1.20165e+06
125,F,71,retired,undef,not commuting,586021,-565331,-1.20165e+06
126,M,27,working,adminetc,not commuting,586021,-564818,-1.20172e+06
127,F,28,working,industry,not commuting,586021,-564818,-1.20172e+06
128,M,26,working,health,not commuting,586021,-565366,-1.20154e+06
129,M,65,retired,undef,not commuting,586021,-565366,-1.20154e+06
130,F,59,working,education,not commuting,586021,-565111,-1.20165e+06
131,M,58,working,it,not commuting,586021,-565111,-1.20165e+06
132,M,38,working,industry,not commuting,586021,-564381,-1.2023e+06
133,F,27,at home,undef,not commuting,586021,-564381,-1.2023e+06
134,F,5,at home,undef,not commuting,586021,-564381,-1.2023e+06
135,F,26,at home,undef,not commuting,586021,-563667,-1.20164e+06
136,M,27,at home,undef,not commuting,586021,-563667,-1.20164e+06
137,M,1,at home,undef,not commuting,586021,-563696,-1.20232e+06
138,F,35,working,adminetc,not commuting,586021,-563696,-1.20232e+06
139,F,14,student,undef,not commuting,586021,-563696,-1.20232e+06
140,M,31,at home,undef,not commuting,586021,-563696,-1.20232e+06
141,F,68,retired,undef,not commuting,586021,-563679,-1.20256e+06
142,M,40,working,industry,not commuting,586021,-563679,-1.20256e+06
143,F,57,at home,undef,not commuting,586021,-563383,-1.20153e+06
144,F,22,at home,undef,not commuting,586021,-563383,-1.20153e+06
145,M,58,working,industry,not commuting,586021,-564615,-1.20223e+06
146,F,57,at home,undef,not commuting,586021,-564615,-1.20223e+06
147,F,71,retired,undef,not commuting,586021,-563414,-1.20148e+06
148,F,68,retired,undef,not commuting,586021,-563689,-1.20261e+06
149,F,65,working,adminetc,not commuting,586021,-564550,-1.20297e+06
150,M,66,retired,undef,not commuting,586021,-564550,-1.20297e+06
151,F,59,working,health,not commuting,586021,-563665,-1.20195e+06
152,M,60,retired,undef,not commuting,586021,-563665,-1.20195e+06
153,F,77,retired,undef,not commuting,586021,-563611,-1.2024e+06
154,M,32,at home,undef,not commuting,586021,-565367,-1.20203e+06
155,M,24,working,industry,not commuting,586021,-563709,-1.20268e+06
156,F,21,working,construction,not commuting,586021,-563709,-1.20268e+06
157,M,59,working,adminetc,not commuting,586021,-564457,-1.2023e+06
158,F,59,at home,undef,not commuting,586021,-564457,-1.2023e+06
159,F,8,student,undef,not commuting,586021,-564534,-1.2021e+06
160,M,41,working,tradeandmoto,not commuting,586021,-564534,-1.2021e+06
161,F,34,working,industry,not commuting,586021,-564534,-1.2021e+06
162,F,6,student,undef,not commuting,586021,-564534,-1.2021e+06
163,M,31,working,education,not commuting,586021,-563949,-1.20201e+06
164,M,38,working,tradeandmoto,not commuting,586021,-563414,-1.20148e+06
165,F,25,working,it,not commuting,586021,-563414,-1.20148e+06
166,M,67,retired,undef,not commuting,586021,-564155,-1.20302e+06
167,F,67,retired,undef,not commuting,586021,-564155,-1.20302e+06
168,F,67,retired,undef,not commuting,586021,-563683,-1.20242e+06
169,M,71,retired,undef,not commuting,586021,-563683,-1.20242e+06
170,F,66,retired,undef,not commuting,586021,-563613,-1.2018e+06
171,F,53,at home,undef,not commuting,586021,-564015,-1.20244e+06
172,M,23,at home,undef,not commuting,586021,-564015,-1.20244e+06
173,M,51,working,industry,not commuting,586021,-564015,-1.20244e+06
174,M,77,retired,undef,not commuting,586021,-565634,-1.20176e+06
175,M,67,retired,undef,not commuting,586021,-565121,-1.2018e+06
176,F,65,retired,undef,not commuting,586021,-565121,-1.2018e+06
177,M,44,working,industry,not commuting,586021,-563709,-1.20268e+06
178,F,42,working,tradeandmoto,45 to 60 mins,586021,-563709,-1.20268e+06
179,M,19,working,industry,not commuting,586021,-563709,-1.20268e+06
180,F,63,retired,undef,not commuting,586021,-565663,-1.20218e+06
181,M,67,retired,undef,not commuting,586021,-565663,-1.20218e+06
182,M,69,retired,undef,not commuting,586021,-563708,-1.20295e+06
183,M,61,retired,undef,not commuting,586021,-564239,-1.20311e+06
184,M,18,student,undef,not commuting,586021,-564239,-1.20311e+06
185,F,41,working,health,not commuting,586021,-564239,-1.20311e+06
186,F,12,student,undef,not commuting,586021,-564239,-1.20311e+06
187,M,60,retired,undef,not commuting,586021,-564266,-1.20276e+06
188,F,60,retired,undef,not commuting,586021,-564266,-1.20276e+06
189,F,55,working,construction,not commuting,586021,-564267,-1.20228e+06
190,M,19,working,education,not commuting,586021,-564267,-1.20228e+06
191,F,34,at home,undef,not commuting,586021,-564267,-1.20228e+06
192,M,45,working,construction,not commuting,586021,-565156,-1.20171e+06
193,F,56,working,transportation,not commuting,586021,-565156,-1.20171e+06
194,F,20,at home,undef,not commuting,586021,-565156,-1.20171e+06
195,F,61,working,health,not commuting,586021,-564410,-1.20182e+06
196,M,59,at home,undef,not commuting,586021,-564039,-1.20275e+06
197,F,57,at home,undef,not commuting,586021,-564039,-1.20275e+06
198,M,60,retired,undef,not commuting,586021,-564334,-1.20326e+06
199,M,27,working,transportation,not commuting,586021,-564334,-1.20326e+06
200,M,63,retired,undef,not commuting,586021,-565463,-1.20203e+06
201,F,64,retired,undef,not commuting,586021,-565463,-1.20203e+06
202,F,59,at home,undef,not commuting,586021,-565965,-1.20408e+06
203,F,0,at home,undef,not commuting,586021,-565965,-1.20408e+06
204,F,29,working,tradeandmoto,not commuting,586021,-565965,-1.20408e+06
205,F,6,student,undef,not commuting,586021,-565965,-1.20408e+06
206,M,58,working,tradeandmoto,not commuting,586021,-565965,-1.20408e+06
207,M,37,working,tradeandmoto,not commuting,586021,-565965,-1.20408e+06
208,M,61,retired,undef,not commuting,586021,-562521,-1.19947e+06
209,F,58,at home,undef,not commuting,586021,-562521,-1.19947e+06
210,M,64,retired,undef,not commuting,586021,-563414,-1.20148e+06
211,F,65,retired,undef,not commuting,586021,-563414,-1.20148e+06
212,M,31,working,industry,not commuting,586021,-563700,-1.20264e+06
213,F,62,retired,undef,not commuting,586021,-564488,-1.20247e+06
214,M,20,working,transportation,15 to 30 min,586021,-564200,-1.20188e+06
215,F,46,at home,undef,not commuting,586021,-564200,-1.20188e+06
216,M,22,working,education,not commuting,586021,-564200,-1.20188e+06
217,M,35,at home,undef,not commuting,586021,-564229,-1.20191e+06
218,F,47,at home,undef,not commuting,586021,-565344,-1.20178e+06
219,M,66,retired,undef,not commuting,586021,-564060,-1.20223e+06
220,F,61,retired,undef,not commuting,586021,-564060,-1.20223e+06
221,M,34,working,industry,not commuting,586021,-563885,-1.20292e+06
222,M,75,retired,undef,not commuting,586021,-564668,-1.20198e+06
223,F,70,retired,undef,not commuting,586021,-564668,-1.20198e+06
224,F,39,working,transportation,not commuting,586021,-563091,-1.20175e+06
225,M,14,student,undef,not commuting,586021,-563091,-1.20175e+06
226,F,16,student,undef,not commuting,586021,-563091,-1.20175e+06
227,F,68,retired,undef,not commuting,586021,-564991,-1.2018e+06
228,M,63,working,industry,not commuting,586021,-564991,-1.2018e+06
229,M,44,working,eatinghousing,not commuting,586021,-565463,-1.20164e+06
230,F,65,retired,undef,not commuting,586021,-565463,-1.20164e+06
231,M,40,at home,undef,not commuting,586021,-563819,-1.20271e+06
232,M,15,working,industry,not commuting,586021,-563819,-1.20271e+06
233,F,38,working,transportation,not commuting,586021,-563819,-1.20271e+06
234,M,9,student,undef,not commuting,586021,-563819,-1.20271e+06
235,M,9,student,undef,not commuting,586021,-565453,-1.2021e+06
236,M,12,student,undef,not commuting,586021,-565453,-1.2021e+06
237,F,42,at home,undef,not commuting,586021,-565453,-1.2021e+06
238,M,68,retired,undef,not commuting,586021,-563613,-1.2018e+06
239,F,63,retired,undef,not commuting,586021,-563613,-1.2018e+06
240,F,29,working,adminetc,not commuting,586021,-565790,-1.20225e+06
241,F,55,at home,undef,not commuting,586021,-565536,-1.20167e+06
242,M,59,working,tradeandmoto,not commuting,586021,-565536,-1.20167e+06
243,F,84,retired,undef,not commuting,586021,-563949,-1.20201e+06
244,F,26,at home,undef,not commuting,586021,-564389,-1.20249e+06
245,M,55,at home,undef,not commuting,586021,-565578,-1.20216e+06
246,F,87,retired,undef,not commuting,586021,-564556,-1.20296e+06
247,F,39,working,banks,not commuting,586021,-564462,-1.20273e+06
248,M,40,working,industry,45 to 60 mins,586021,-564462,-1.20273e+06
249,M,15,student,undef,not commuting,586021,-564462,-1.20273e+06
250,M,14,student,undef,not commuting,586021,-564462,-1.20273e+06
251,F,66,retired,undef,not commuting,586021,-564694,-1.20265e+06
252,M,64,working,tradeandmoto,not commuting,586021,-564694,-1.20265e+06
253,M,22,at home,undef,not commuting,586021,-564694,-1.20265e+06
254,M,62,working,industry,not commuting,586021,-563708,-1.20295e+06
255,F,31,at home,undef,not commuting,586021,-563708,-1.20295e+06
256,F,63,retired,undef,not commuting,586021,-563708,-1.20295e+06
257,M,31,working,transportation,not commuting,586021,-563995,-1.20186e+06
258,M,31,working,transportation,not commuting,586021,-563995,-1.20186e+06
259,M,34,at home,undef,not commuting,586021,-563995,-1.20186e+06
260,F,36,working,publicsector,not commuting,586021,-563861,-1.20261e+06
261,F,58,at home,undef,not commuting,586021,-565342,-1.20157e+06
262,M,34,working,publicsector,not commuting,586021,-565342,-1.20157e+06
263,F,27,working,industry,not commuting,586021,-563365,-1.20146e+06
264,M,28,working,transportation,15 to 30 min,586021,-563365,-1.20146e+06
265,F,25,working,industry,not commuting,586021,-563365,-1.20146e+06
266,M,52,working,tradeandmoto,not commuting,586021,-563818,-1.20258e+06
267,F,54,working,publicsector,not commuting,586021,-563708,-1.20295e+06
268,M,60,retired,undef,not commuting,586021,-563708,-1.20295e+06
269,F,19,at home,undef,not commuting,586021,-563708,-1.20295e+06
270,M,59,working,construction,not commuting,586021,-565724,-1.20167e+06
271,F,58,at home,undef,not commuting,586021,-565724,-1.20167e+06
272,F,57,working,industry,not commuting,586021,-563433,-1.20161e+06
273,M,61,retired,undef,not commuting,586021,-563433,-1.20161e+06
274,M,37,working,health,not commuting,586021,-563433,-1.20161e+06
275,M,28,working,education,not commuting,586021,-563613,-1.2018e+06
276,F,51,at home,undef,not commuting,586021,-563613,-1.2018e+06
277,F,54,working,industry,not commuting,586021,-563773,-1.20301e+06
278,M,55,working,adminetc,not commuting,586021,-563773,-1.20301e+06
279,F,59,at home,undef,not commuting,586021,-564488,-1.20247e+06
280,M,62,retired,undef,not commuting,586021,-563700,-1.20264e+06
281,M,62,retired,undef,not commuting,586021,-563378,-1.20159e+06
282,F,60,retired,undef,not commuting,586021,-563378,-1.20159e+06
283,M,32,working,industry,not commuting,586021,-563378,-1.20159e+06
284,M,65,retired,undef,not commuting,586021,-564377,-1.20202e+06
285,F,64,retired,undef,not commuting,586021,-563680,-1.20285e+06
286,M,66,retired,undef,not commuting,586021,-563680,-1.20285e+06
287,F,61,retired,undef,not commuting,586021,-564217,-1.20267e+06
288,F,56,working,transportation,not commuting,586021,-564266,-1.20239e+06
289,F,57,working,publicsector,not commuting,586021,-565737,-1.20215e+06
290,M,24,at home,undef,not commuting,586021,-565737,-1.20215e+06
291,F,56,at home,undef,not commuting,586021,-565799,-1.2023e+06
292,M,59,working,banks,not commuting,586021,-565799,-1.2023e+06
293,M,73,working,education,not commuting,586021,-563680,-1.20285e+06
294,F,70,retired,undef,not commuting,586021,-563680,-1.20285e+06
295,M,40,working,industry,15 to 30 min,586021,-563680,-1.20285e+06
296,M,34,working,banks,not commuting,586021,-563741,-1.20263e+06
297,F,5,at home,undef,not commuting,586021,-563741,-1.20263e+06
298,M,4,at home,undef,not commuting,586021,-563741,-1.20263e+06
299,F,31,working,industry,not commuting,586021,-563741,-1.20263e+06
300,F,49,working,tradeandmoto,30 to 45 mins,586021,-565463,-1.20164e+06
301,M,12,student,undef,not commuting,586021,-565463,-1.20164e+06
302,M,55,working,publicsector,30 to 45 mins,586021,-565463,-1.20164e+06
303,F,70,retired,undef,not commuting,586021,-564668,-1.20198e+06
304,M,56,working,tradeandmoto,not commuting,586021,-564409,-1.20262e+06
305,F,55,working,it,not commuting,586021,-564409,-1.20262e+06
306,F,79,retired,undef,not commuting,586021,-563611,-1.2024e+06
307,M,48,working,eatinghousing,not commuting,586021,-563611,-1.2024e+06
308,M,58,working,construction,not commuting,586021,-566027,-1.20406e+06
309,F,62,retired,undef,not commuting,586021,-566027,-1.20406e+06
310,M,48,working,industry,not commuting,586021,-565646,-1.20203e+06
311,M,76,retired,undef,not commuting,586021,-565646,-1.20203e+06
312,M,62,retired,undef,not commuting,586021,-563751,-1.20307e+06
313,F,62,retired,undef,not commuting,586021,-563751,-1.20307e+06
314,M,39,at home,undef,not commuting,586021,-564791,-1.20187e+06
315,M,9,student,undef,not commuting,586021,-564791,-1.20187e+06
316,F,34,working,industry,not commuting,586021,-564791,-1.20187e+06
317,M,33,working,industry,not commuting,586021,-563915,-1.2027e+06
318,M,47,working,health,not commuting,586021,-563575,-1.20175e+06
319,F,47,at home,undef,not commuting,586021,-563575,-1.20175e+06
320,M,22,working,construction,15 to 30 min,586021,-563708,-1.20295e+06
321,M,19,at home,undef,not commuting,586021,-563708,-1.20295e+06
322,F,27,working,industry,not commuting,586021,-563879,-1.20198e+06
323,M,32,working,industry,not commuting,586021,-563879,-1.20198e+06
324,M,32,working,industry,15 to 30 min,586021,-564039,-1.20275e+06
325,F,64,retired,undef,not commuting,586021,-564039,-1.20275e+06
326,M,67,retired,undef,not commuting,586021,-564039,-1.20275e+06
327,M,33,working,health,not commuting,586021,-563703,-1.20277e+06
328,F,64,retired,undef,not commuting,586021,-563703,-1.20277e+06
329,F,35,at home,undef,not commuting,586021,-565344,-1.20178e+06
330,F,13,student,undef,not commuting,586021,-565344,-1.20178e+06
331,F,52,at home,undef,not commuting,586021,-563819,-1.20271e+06
332,F,14,student,undef,not commuting,586021,-563819,-1.20271e+06
333,M,51,working,construction,15 to 30 min,586021,-563819,-1.20271e+06
334,F,21,at home,undef,not commuting,586021,-564354,-1.20314e+06
335,M,47,at home,undef,not commuting,586021,-564354,-1.20314e+06
336,F,42,working,industry,not commuting,586021,-564354,-1.20314e+06
337,F,17,working,industry,not commuting,586021,-564354,-1.20314e+06
338,M,60,retired,undef,not commuting,586021,-564521,-1.20178e+06
339,F,57,working,banks,not commuting,586021,-564521,-1.20178e+06
340,M,999,retired,undef,not commuting,586021,-564155,-1.20302e+06
341,F,34,at home,undef,not commuting,586021,-564509,-1.20287e+06
342,F,2,at home,undef,not commuting,586021,-564509,-1.20287e+06
343,F,6,student,undef,not commuting,586021,-564509,-1.20287e+06
344,F,12,student,undef,not commuting,586021,-564509,-1.20287e+06
345,M,12,student,undef,not commuting,586021,-565568,-1.20162e+06
346,F,34,working,industry,not commuting,586021,-565568,-1.20162e+06
347,F,13,student,undef,not commuting,586021,-565568,-1.20162e+06
348,M,7,student,undef,not commuting,586021,-564662,-1.2018e+06
349,F,32,working,industry,not commuting,586021,-564662,-1.2018e+06
350,M,25,working,health,not commuting,586021,-563663,-1.20281e+06
351,F,47,working,transportation,not commuting,586021,-563663,-1.20281e+06
352,M,47,working,health,not commuting,586021,-563663,-1.20281e+06
353,F,38,at home,undef,not commuting,586021,-564146,-1.20188e+06
354,M,23,at home,undef,not commuting,586021,-563796,-1.20251e+06
355,F,46,working,eatinghousing,not commuting,586021,-563796,-1.20251e+06
356,F,42,working,transportation,not commuting,586021,-564791,-1.20187e+06
357,F,21,working,tradeandmoto,not commuting,586021,-564791,-1.20187e+06
358,F,20,at home,undef,not commuting,586021,-564791,-1.20187e+06
359,M,44,working,education,45 to 60 mins,586021,-564791,-1.20187e+06
360,M,43,at home,undef,not commuting,586021,-563901,-1.20264e+06
361,F,63,retired,undef,not commuting,586021,-563901,-1.20264e+06
362,M,52,working,tradeandmoto,not commuting,586021,-563901,-1.20264e+06
363,M,12,student,undef,not commuting,586021,-565511,-1.20214e+06
364,F,8,student,undef,not commuting,586021,-565511,-1.20214e+06
365,M,44,working,tradeandmoto,15 to 30 min,586021,-565511,-1.20214e+06
366,F,64,retired,undef,not commuting,586021,-565400,-1.20168e+06
367,M,73,retired,undef,not commuting,586021,-565400,-1.20168e+06
368,M,17,student,undef,not commuting,586021,-565790,-1.20225e+06
369,M,49,working,industry,not commuting,586021,-565790,-1.20225e+06
370,F,41,working,eatinghousing,not commuting,586021,-565790,-1.20225e+06
371,M,19,at home,undef,not commuting,586021,-565790,-1.20225e+06
372,F,22,at home,undef,not commuting,586021,-565799,-1.2023e+06
373,F,44,working,industry,not commuting,586021,-565799,-1.2023e+06
374,M,50,working,adminetc,45 to 60 mins,586021,-565799,-1.2023e+06
375,F,21,at home,undef,not commuting,586021,-565799,-1.2023e+06
376,F,21,at home,undef,not commuting,586021,-564299,-1.20321e+06
377,F,50,working,tradeandmoto,not commuting,586021,-564299,-1.20321e+06
378,M,70,retired,undef,not commuting,586021,-563414,-1.20148e+06
379,M,62,retired,undef,not commuting,586021,-564584,-1.20153e+06
380,F,58,at home,undef,not commuting,586021,-564584,-1.20153e+06
381,F,5,at home,undef,not commuting,586021,-564174,-1.20195e+06
382,M,33,working,tradeandmoto,not commuting,586021,-564174,-1.20195e+06
383,M,4,at home,undef,not commuting,586021,-564174,-1.20195e+06
384,F,27,at home,undef,not commuting,586021,-564174,-1.20195e+06
385,M,29,at home,undef,not commuting,586021,-564012,-1.20224e+06
386,M,27,working,adminetc,not commuting,586021,-564012,-1.20224e+06
387,F,35,working,eatinghousing,not commuting,586021,-564455,-1.20294e+06
388,M,30,working,construction,not commuting,586021,-563521,-1.20176e+06
389,F,42,working,adminetc,not commuting,586021,-563965,-1.20351e+06
390,M,28,working,tradeandmoto,not commuting,586021,-563383,-1.20153e+06
391,F,21,at home,undef,not commuting,586021,-563383,-1.20153e+06
392,F,20,at home,undef,not commuting,586021,-563905,-1.20257e+06
393,M,12,student,undef,not commuting,586021,-563905,-1.20257e+06
394,M,56,working,industry,not commuting,586021,-565604,-1.20213e+06
395,F,69,retired,undef,not commuting,586021,-563915,-1.2027e+06
396,M,42,working,health,not commuting,586021,-563999,-1.20144e+06
397,F,37,working,publicsector,not commuting,586021,-563999,-1.20144e+06
398,F,61,retired,undef,not commuting,586021,-564112,-1.20234e+06
399,M,59,working,industry,not commuting,586021,-564112,-1.20234e+06
400,M,24,working,health,not commuting,586021,-563819,-1.20271e+06
401,F,37,working,industry,not commuting,586021,-564038,-1.20199e+06
402,M,11,student,undef,not commuting,586021,-564038,-1.20199e+06
403,M,3,at home,undef,not commuting,586021,-564642,-1.20244e+06
404,M,29,working,banks,not commuting,586021,-564642,-1.20244e+06
405,M,0,at home,undef,not commuting,586021,-565688,-1.20215e+06
406,F,8,student,undef,not commuting,586021,-565688,-1.20215e+06
407,F,35,at home,undef,not commuting,586021,-565688,-1.20215e+06
408,F,44,working,industry,not commuting,586021,-564558,-1.2016e+06
409,F,10,student,undef,not commuting,586021,-563681,-1.20225e+06
410,F,30,working,tradeandmoto,not commuting,586021,-563681,-1.20225e+06
411,M,32,working,eatinghousing,15 to 30 min,586021,-563681,-1.20225e+06
412,M,2,at home,undef,not commuting,586021,-563681,-1.20225e+06
413,F,65,retired,undef,not commuting,586021,-562604,-1.20154e+06
414,F,40,working,industry,not commuting,586021,-563943,-1.20262e+06
415,M,20,working,industry,15 to 30 min,586021,-563943,-1.20262e+06
416,F,12,student,undef,not commuting,586021,-563943,-1.20262e+06
417,F,44,working,tradeandmoto,15 to 30 min,586021,-563683,-1.20242e+06
418,M,50,working,adminetc,not commuting,586021,-563683,-1.20242e+06
419,F,19,at home,undef,not commuting,586021,-563683,-1.20242e+06
