layer,sublayer,vertex1,vertex2, probability, intensity
1,16645,52242,52245,0.5,0.122391
1,16676,53016,53017,0.8,0.122391
1,16835,51051,51052,0.5,0.122391
1,16845,50609,50611,0.5,0.122391
1,16931,51033,51034,0.8,0.122391
1,17029,52842,52843,0.8,0.122391
1,17061,53028,53030,0.5,0.122391
1,17224,50772,50774,0.8,0.122391
1,17255,52354,52356,0.5,0.122391
1,17421,53958,53959,0.5,0.122391
1,17421,53958,53962,0.8,0.122391
1,17421,53959,53962,0.5,0.122391
1,17421,54243,54244,0.8,0.122391
1,17421,54243,54245,0.8,0.122391
1,17421,54244,54245,0.8,0.122391
1,17481,54827,54830,0.5,0.122391
1,17493,54154,54155,0.5,0.122391
1,17501,54175,54176,0.5,0.122391
1,17580,54919,54921,0.5,0.122391
1,17587,55245,55247,0.5,0.122391
1,17595,55471,55476,0.5,0.122391
1,17595,55472,55476,0.5,0.122391
1,17615,55126,55128,0.8,0.122391
2,-1,6098,22513,0.5,0.0815941
2,-1,12827,8343,0.5,0.0815941
2,-1,25965,24858,0.5,0.0815941
2,-1,25965,24291,0.5,0.0815941
2,-1,24858,24291,0.5,0.0815941
2,-1,25097,26026,0.5,0.0815941
2,-1,24450,26306,0.5,0.0815941
2,-1,24450,26307,0.5,0.0815941
2,-1,24450,26309,0.5,0.0815941
2,-1,24450,26342,0.5,0.0815941
2,-1,26306,26342,0.5,0.0815941
2,-1,26307,26342,0.5,0.0815941
2,-1,26309,26342,0.5,0.0815941
2,-1,26061,25250,0.5,0.0815941
2,-1,26061,25251,0.5,0.0815941
2,-1,26061,25252,0.5,0.0815941
2,-1,26660,26330,0.5,0.0815941
2,-1,25973,25607,0.5,0.0815941
2,-1,25973,25608,0.5,0.0815941
2,-1,25973,25609,0.5,0.0815941
2,-1,25806,24341,0.5,0.0815941
2,-1,25806,24342,0.5,0.0815941
2,-1,25112,26190,0.5,0.0815941
2,-1,25112,26191,0.5,0.0815941
2,-1,25113,26190,0.5,0.0815941
2,-1,25113,26191,0.5,0.0815941
2,-1,24486,24298,0.5,0.0815941
2,-1,26237,24967,0.5,0.0815941
2,-1,26237,26018,0.5,0.0815941
2,-1,26237,26019,0.5,0.0815941
2,-1,26237,26020,0.5,0.0815941
2,-1,24967,26018,0.5,0.0815941
2,-1,24967,26019,0.5,0.0815941
2,-1,24967,26020,0.5,0.0815941
2,-1,24732,26083,0.5,0.0815941
2,-1,24734,26083,0.5,0.0815941
2,-1,24613,25917,0.5,0.0815941
2,-1,24615,25917,0.5,0.0815941
2,-1,26676,25345,0.5,0.0815941
2,-1,26270,25678,0.5,0.0815941
2,-1,25868,25914,0.5,0.0815941
2,-1,24582,25110,0.5,0.0815941
2,-1,24584,25110,0.5,0.0815941
2,-1,24474,25311,0.5,0.0815941
2,-1,24387,26456,0.5,0.0815941
2,-1,25647,25550,0.5,0.0815941
2,-1,25647,25551,0.5,0.0815941
2,-1,25647,25553,0.5,0.0815941
2,-1,25034,24827,0.5,0.0815941
2,-1,25034,24829,0.5,0.0815941
2,-1,25197,26585,0.5,0.0815941
2,-1,25374,26224,0.5,0.0815941
2,-1,24845,25278,0.5,0.0815941
2,-1,24924,26243,0.5,0.0815941
2,-1,24924,26244,0.5,0.0815941
2,-1,25415,25083,0.5,0.0815941
2,-1,24360,25212,0.5,0.0815941
2,-1,24360,25213,0.5,0.0815941
2,-1,25300,25722,0.5,0.0815941
2,-1,25892,24875,0.5,0.0815941
2,-1,26047,24746,0.5,0.0815941
2,-1,26047,24747,0.5,0.0815941
2,-1,26052,24746,0.5,0.0815941
2,-1,26052,24747,0.5,0.0815941
2,-1,25853,25496,0.5,0.0815941
2,-1,25853,25497,0.5,0.0815941
2,-1,24569,24691,0.5,0.0815941
2,-1,25979,26457,0.5,0.0815941
2,-1,25979,26458,0.5,0.0815941
2,-1,25979,24751,0.5,0.0815941
2,-1,25979,25296,0.5,0.0815941
2,-1,25979,25297,0.5,0.0815941
2,-1,26457,24751,0.5,0.0815941
2,-1,26458,24751,0.5,0.0815941
2,-1,26457,25296,0.5,0.0815941
2,-1,26457,25297,0.5,0.0815941
2,-1,26458,25296,0.5,0.0815941
2,-1,26458,25297,0.5,0.0815941
2,-1,24751,25296,0.5,0.0815941
2,-1,24751,25297,0.5,0.0815941
2,-1,26358,26185,0.5,0.0815941
2,-1,25230,24971,0.5,0.0815941
2,-1,24783,26218,0.5,0.0815941
2,-1,24843,25779,0.5,0.0815941
2,-1,26513,26318,0.5,0.0815941
2,-1,25600,24350,0.5,0.0815941
2,-1,25600,24351,0.5,0.0815941
2,-1,26242,25330,0.5,0.0815941
2,-1,25667,26199,0.5,0.0815941
2,-1,26263,26138,0.5,0.0815941
2,-1,25781,24837,0.5,0.0815941
2,-1,25781,24838,0.5,0.0815941
2,-1,26608,24913,0.5,0.0815941
2,-1,26609,24913,0.5,0.0815941
2,-1,25611,25897,0.5,0.0815941
2,-1,26508,26090,0.5,0.0815941
2,-1,26508,26092,0.5,0.0815941
2,-1,24861,25283,0.5,0.0815941
2,-1,24862,25283,0.5,0.0815941
2,-1,24864,25283,0.5,0.0815941
2,-1,24865,25283,0.5,0.0815941
2,-1,24466,24454,0.5,0.0815941
2,-1,24466,25526,0.5,0.0815941
2,-1,24466,24762,0.5,0.0815941
2,-1,24454,25526,0.5,0.0815941
2,-1,24454,24762,0.5,0.0815941
2,-1,25526,24762,0.5,0.0815941
2,-1,26075,24740,0.5,0.0815941
2,-1,26077,24740,0.5,0.0815941
2,-1,26511,26038,0.5,0.0815941
2,-1,26511,26040,0.5,0.0815941
2,-1,24678,26429,0.5,0.0815941
2,-1,24679,26429,0.5,0.0815941
2,-1,25936,24536,0.5,0.0815941
2,-1,25563,25160,0.5,0.0815941
2,-1,25563,25161,0.5,0.0815941
2,-1,25563,25162,0.5,0.0815941
2,-1,24695,26171,0.5,0.0815941
2,-1,25636,26123,0.5,0.0815941
2,-1,24311,26657,0.5,0.0815941
2,-1,24311,25629,0.5,0.0815941
2,-1,26657,25629,0.5,0.0815941
2,-1,25569,24808,0.5,0.0815941
2,-1,25569,24322,0.5,0.0815941
2,-1,24808,24322,0.5,0.0815941
2,-1,25838,25025,0.5,0.0815941
2,-1,26465,26448,0.5,0.0815941
2,-1,25772,24563,0.5,0.0815941
2,-1,25772,24564,0.5,0.0815941
2,-1,25772,24566,0.5,0.0815941
2,-1,25731,24713,0.5,0.0815941
2,-1,25887,26180,0.5,0.0815941
2,-1,24376,25421,0.5,0.0815941
2,-1,26557,25351,0.5,0.0815941
2,-1,26557,25354,0.5,0.0815941
2,-1,26558,25351,0.5,0.0815941
2,-1,26558,25354,0.5,0.0815941
2,-1,26557,26611,0.5,0.0815941
2,-1,26557,26612,0.5,0.0815941
2,-1,26558,26611,0.5,0.0815941
2,-1,26558,26612,0.5,0.0815941
2,-1,25351,26611,0.5,0.0815941
2,-1,25351,26612,0.5,0.0815941
2,-1,25354,26611,0.5,0.0815941
2,-1,25354,26612,0.5,0.0815941
2,-1,26328,25399,0.5,0.0815941
2,-1,26328,25314,0.5,0.0815941
2,-1,25399,25314,0.5,0.0815941
2,-1,25179,25502,0.5,0.0815941
2,-1,25181,25502,0.5,0.0815941
2,-1,26398,24755,0.5,0.0815941
2,-1,26398,24757,0.5,0.0815941
2,-1,26399,24755,0.5,0.0815941
2,-1,26399,24757,0.5,0.0815941
2,-1,26400,24755,0.5,0.0815941
2,-1,26400,24757,0.5,0.0815941
2,-1,26323,26446,0.5,0.0815941
2,-1,25765,24490,0.5,0.0815941
2,-1,26003,24656,0.5,0.0815941
2,-1,26003,24658,0.5,0.0815941
2,-1,25066,24867,0.5,0.0815941
2,-1,25066,24869,0.5,0.0815941
2,-1,25066,24549,0.5,0.0815941
2,-1,24867,24549,0.5,0.0815941
2,-1,24869,24549,0.5,0.0815941
2,-1,25147,26396,0.5,0.0815941
2,-1,26478,25789,0.5,0.0815941
2,-1,25546,25183,0.5,0.0815941
2,-1,25546,25184,0.5,0.0815941
2,-1,25546,25185,0.5,0.0815941
2,-1,25546,24439,0.5,0.0815941
2,-1,25183,24439,0.5,0.0815941
2,-1,25184,24439,0.5,0.0815941
2,-1,25185,24439,0.5,0.0815941
2,-1,26067,24576,0.5,0.0815941
2,-1,26069,24576,0.5,0.0815941
2,-1,25433,25402,0.5,0.0815941
2,-1,26548,25529,0.5,0.0815941
2,-1,26616,25202,0.5,0.0815941
2,-1,26616,25258,0.5,0.0815941
2,-1,26616,25260,0.5,0.0815941
2,-1,25202,25258,0.5,0.0815941
2,-1,25202,25260,0.5,0.0815941
2,-1,25782,25193,0.5,0.0815941
2,-1,29451,29157,0.5,0.0815941
2,-1,29452,29157,0.5,0.0815941
2,-1,29453,29157,0.5,0.0815941
2,-1,29451,27180,0.5,0.0815941
2,-1,29451,27181,0.5,0.0815941
2,-1,29452,27180,0.5,0.0815941
2,-1,29452,27181,0.5,0.0815941
2,-1,29453,27180,0.5,0.0815941
2,-1,29453,27181,0.5,0.0815941
2,-1,29157,27180,0.5,0.0815941
2,-1,29157,27181,0.5,0.0815941
2,-1,28452,27054,0.5,0.0815941
2,-1,28728,28649,0.5,0.0815941
2,-1,28624,29008,0.5,0.0815941
2,-1,27939,28862,0.5,0.0815941
2,-1,28463,28163,0.5,0.0815941
2,-1,28463,27816,0.5,0.0815941
2,-1,28163,27816,0.5,0.0815941
2,-1,28280,27913,0.5,0.0815941
2,-1,28625,28392,0.5,0.0815941
2,-1,27304,27687,0.5,0.0815941
2,-1,27493,28304,0.5,0.0815941
2,-1,27493,28308,0.5,0.0815941
2,-1,27493,27216,0.5,0.0815941
2,-1,28304,27216,0.5,0.0815941
2,-1,28308,27216,0.5,0.0815941
2,-1,28998,28021,0.5,0.0815941
2,-1,29000,28021,0.5,0.0815941
2,-1,28049,29434,0.5,0.0815941
2,-1,28049,27925,0.5,0.0815941
2,-1,28049,27926,0.5,0.0815941
2,-1,29434,27925,0.5,0.0815941
2,-1,29434,27926,0.5,0.0815941
2,-1,27058,28178,0.5,0.0815941
2,-1,28040,27743,0.5,0.0815941
2,-1,28040,27614,0.5,0.0815941
2,-1,28040,26897,0.5,0.0815941
2,-1,28040,26898,0.5,0.0815941
2,-1,28040,26852,0.5,0.0815941
2,-1,28040,26854,0.5,0.0815941
2,-1,27743,27614,0.5,0.0815941
2,-1,27743,26897,0.5,0.0815941
2,-1,27743,26898,0.5,0.0815941
2,-1,27743,26852,0.5,0.0815941
2,-1,27743,26854,0.5,0.0815941
2,-1,27614,26897,0.5,0.0815941
2,-1,27614,26898,0.5,0.0815941
2,-1,27614,26852,0.5,0.0815941
2,-1,27614,26854,0.5,0.0815941
2,-1,26897,26852,0.5,0.0815941
2,-1,26897,26854,0.5,0.0815941
2,-1,26898,26852,0.5,0.0815941
2,-1,26898,26854,0.5,0.0815941
2,-1,27555,27937,0.5,0.0815941
2,-1,27065,28515,0.5,0.0815941
2,-1,27065,28000,0.5,0.0815941
2,-1,27065,27013,0.5,0.0815941
2,-1,27065,26956,0.5,0.0815941
2,-1,28515,28000,0.5,0.0815941
2,-1,28515,27013,0.5,0.0815941
2,-1,28515,26956,0.5,0.0815941
2,-1,28000,27013,0.5,0.0815941
2,-1,28000,26956,0.5,0.0815941
2,-1,27013,26956,0.5,0.0815941
2,-1,27007,26910,0.5,0.0815941
2,-1,27009,26910,0.5,0.0815941
2,-1,27011,26910,0.5,0.0815941
2,-1,27007,27158,0.5,0.0815941
2,-1,27009,27158,0.5,0.0815941
2,-1,27011,27158,0.5,0.0815941
2,-1,26910,27158,0.5,0.0815941
2,-1,28677,29510,0.5,0.0815941
2,-1,28140,26883,0.5,0.0815941
2,-1,27897,28778,0.5,0.0815941
2,-1,27897,27669,0.5,0.0815941
2,-1,28778,27669,0.5,0.0815941
2,-1,28870,27970,0.5,0.0815941
2,-1,28424,29164,0.5,0.0815941
2,-1,28027,28438,0.5,0.0815941
2,-1,28834,27536,0.5,0.0815941
2,-1,28712,28790,0.5,0.0815941
2,-1,27520,28698,0.5,0.0815941
2,-1,27593,26719,0.5,0.0815941
2,-1,27593,26720,0.5,0.0815941
2,-1,27593,27822,0.5,0.0815941
2,-1,26719,27822,0.5,0.0815941
2,-1,26720,27822,0.5,0.0815941
2,-1,27731,27986,0.5,0.0815941
2,-1,27731,27987,0.5,0.0815941
2,-1,27417,28752,0.5,0.0815941
2,-1,27417,28753,0.5,0.0815941
2,-1,27418,28752,0.5,0.0815941
2,-1,27418,28753,0.5,0.0815941
2,-1,27103,27829,0.5,0.0815941
2,-1,28062,28014,0.5,0.0815941
2,-1,28629,27467,0.5,0.0815941
2,-1,28630,27467,0.5,0.0815941
2,-1,29107,27208,0.5,0.0815941
2,-1,26804,28914,0.5,0.0815941
2,-1,26804,28916,0.5,0.0815941
2,-1,27707,27317,0.5,0.0815941
2,-1,27708,27317,0.5,0.0815941
2,-1,29016,27735,0.5,0.0815941
2,-1,28102,28505,0.5,0.0815941
2,-1,28103,28505,0.5,0.0815941
2,-1,28102,26889,0.5,0.0815941
2,-1,28103,26889,0.5,0.0815941
2,-1,28505,26889,0.5,0.0815941
2,-1,29085,27866,0.5,0.0815941
2,-1,29356,29310,0.5,0.0815941
2,-1,29356,29312,0.5,0.0815941
2,-1,27892,28965,0.5,0.0815941
2,-1,29027,29132,0.5,0.0815941
2,-1,29553,27729,0.5,0.0815941
2,-1,29314,29372,0.5,0.0815941
2,-1,29314,27758,0.5,0.0815941
2,-1,29314,29165,0.5,0.0815941
2,-1,29372,27758,0.5,0.0815941
2,-1,29372,29165,0.5,0.0815941
2,-1,27758,29165,0.5,0.0815941
2,-1,27184,26819,0.5,0.0815941
2,-1,28233,29306,0.5,0.0815941
2,-1,28233,29307,0.5,0.0815941
2,-1,26715,26807,0.5,0.0815941
2,-1,26912,28477,0.5,0.0815941
2,-1,28053,28660,0.5,0.0815941
2,-1,26935,28123,0.5,0.0815941
2,-1,27032,29326,0.5,0.0815941
2,-1,27032,29327,0.5,0.0815941
2,-1,27033,29326,0.5,0.0815941
2,-1,27033,29327,0.5,0.0815941
2,-1,27390,27160,0.5,0.0815941
2,-1,27390,27162,0.5,0.0815941
2,-1,27391,27160,0.5,0.0815941
2,-1,27391,27162,0.5,0.0815941
2,-1,28100,29035,0.5,0.0815941
2,-1,28100,29037,0.5,0.0815941
2,-1,28100,29038,0.5,0.0815941
2,-1,29533,26856,0.5,0.0815941
2,-1,29534,26856,0.5,0.0815941
2,-1,29533,27025,0.5,0.0815941
2,-1,29534,27025,0.5,0.0815941
2,-1,26856,27025,0.5,0.0815941
2,-1,28849,28441,0.5,0.0815941
2,-1,28850,28441,0.5,0.0815941
2,-1,26861,27736,0.5,0.0815941
2,-1,29137,27410,0.5,0.0815941
2,-1,29137,27380,0.5,0.0815941
2,-1,27410,27380,0.5,0.0815941
2,-1,27872,26696,0.5,0.0815941
2,-1,29459,27453,0.5,0.0815941
2,-1,29459,27454,0.5,0.0815941
2,-1,29459,28729,0.5,0.0815941
2,-1,27453,28729,0.5,0.0815941
2,-1,27454,28729,0.5,0.0815941
2,-1,29433,29208,0.5,0.0815941
2,-1,29433,29209,0.5,0.0815941
2,-1,28414,28607,0.5,0.0815941
2,-1,28414,28722,0.5,0.0815941
2,-1,28414,28723,0.5,0.0815941
2,-1,28607,28722,0.5,0.0815941
2,-1,28607,28723,0.5,0.0815941
2,-1,28763,27163,0.5,0.0815941
2,-1,29473,29427,0.5,0.0815941
2,-1,26809,27330,0.5,0.0815941
2,-1,28772,29494,0.5,0.0815941
2,-1,28774,29494,0.5,0.0815941
2,-1,28772,28946,0.5,0.0815941
2,-1,28774,28946,0.5,0.0815941
2,-1,29494,28946,0.5,0.0815941
2,-1,28228,27630,0.5,0.0815941
2,-1,28228,27632,0.5,0.0815941
2,-1,28228,27247,0.5,0.0815941
2,-1,27630,27247,0.5,0.0815941
2,-1,27632,27247,0.5,0.0815941
2,-1,27094,28067,0.5,0.0815941
2,-1,27095,28067,0.5,0.0815941
2,-1,27096,28067,0.5,0.0815941
2,-1,27094,27909,0.5,0.0815941
2,-1,27095,27909,0.5,0.0815941
2,-1,27096,27909,0.5,0.0815941
2,-1,28067,27909,0.5,0.0815941
2,-1,29407,27435,0.5,0.0815941
2,-1,29407,27436,0.5,0.0815941
2,-1,27149,28202,0.5,0.0815941
2,-1,26921,27294,0.5,0.0815941
2,-1,29102,28288,0.5,0.0815941
2,-1,27204,29022,0.5,0.0815941
2,-1,27204,28782,0.5,0.0815941
2,-1,29022,28782,0.5,0.0815941
2,-1,27405,27019,0.5,0.0815941
2,-1,26946,28961,0.5,0.0815941
2,-1,28713,28888,0.5,0.0815941
2,-1,32621,33319,0.5,0.0815941
2,-1,32450,30930,0.5,0.0815941
2,-1,29946,33659,0.5,0.0815941
2,-1,29946,33660,0.5,0.0815941
2,-1,29591,34679,0.5,0.0815941
2,-1,35523,31151,0.5,0.0815941
2,-1,32256,34441,0.5,0.0815941
2,-1,32256,34444,0.5,0.0815941
2,-1,32595,34133,0.5,0.0815941
2,-1,32595,34134,0.5,0.0815941
2,-1,30271,33993,0.5,0.0815941
2,-1,30271,33994,0.5,0.0815941
2,-1,30271,34595,0.5,0.0815941
2,-1,30271,34597,0.5,0.0815941
2,-1,33993,34595,0.5,0.0815941
2,-1,33993,34597,0.5,0.0815941
2,-1,33994,34595,0.5,0.0815941
2,-1,33994,34597,0.5,0.0815941
2,-1,32351,32128,0.5,0.0815941
2,-1,32355,32128,0.5,0.0815941
2,-1,30437,31416,0.5,0.0815941
2,-1,30440,31416,0.5,0.0815941
2,-1,30437,32964,0.5,0.0815941
2,-1,30437,32967,0.5,0.0815941
2,-1,30440,32964,0.5,0.0815941
2,-1,30440,32967,0.5,0.0815941
2,-1,31416,32964,0.5,0.0815941
2,-1,31416,32967,0.5,0.0815941
2,-1,32661,29924,0.5,0.0815941
2,-1,32662,29924,0.5,0.0815941
2,-1,32376,34074,0.5,0.0815941
2,-1,31709,32562,0.5,0.0815941
2,-1,31709,33265,0.5,0.0815941
2,-1,32562,33265,0.5,0.0815941
2,-1,30116,32264,0.5,0.0815941
2,-1,30116,32267,0.5,0.0815941
2,-1,35459,31533,0.5,0.0815941
2,-1,32446,34342,0.5,0.0815941
2,-1,31492,29749,0.5,0.0815941
2,-1,35303,33831,0.5,0.0815941
2,-1,34419,31750,0.5,0.0815941
2,-1,34419,31752,0.5,0.0815941
2,-1,34103,33383,0.5,0.0815941
2,-1,34103,33384,0.5,0.0815941
2,-1,30998,30383,0.5,0.0815941
2,-1,30853,31664,0.5,0.0815941
2,-1,33298,31358,0.5,0.0815941
2,-1,33298,31359,0.5,0.0815941
2,-1,33304,31358,0.5,0.0815941
2,-1,33304,31359,0.5,0.0815941
2,-1,33298,31485,0.5,0.0815941
2,-1,33298,31486,0.5,0.0815941
2,-1,33304,31485,0.5,0.0815941
2,-1,33304,31486,0.5,0.0815941
2,-1,31358,31485,0.5,0.0815941
2,-1,31358,31486,0.5,0.0815941
2,-1,31359,31485,0.5,0.0815941
2,-1,31359,31486,0.5,0.0815941
2,-1,33015,32499,0.5,0.0815941
2,-1,35100,30557,0.5,0.0815941
2,-1,30311,30720,0.5,0.0815941
2,-1,30312,30720,0.5,0.0815941
2,-1,33075,34270,0.5,0.0815941
2,-1,33075,34273,0.5,0.0815941
2,-1,33075,33286,0.5,0.0815941
2,-1,34270,33286,0.5,0.0815941
2,-1,34273,33286,0.5,0.0815941
2,-1,34842,33726,0.5,0.0815941
2,-1,34845,33726,0.5,0.0815941
2,-1,35382,34869,0.5,0.0815941
2,-1,34390,33239,0.5,0.0815941
2,-1,34691,34130,0.5,0.0815941
2,-1,34691,30625,0.5,0.0815941
2,-1,34691,30627,0.5,0.0815941
2,-1,34130,30625,0.5,0.0815941
2,-1,34130,30627,0.5,0.0815941
2,-1,32304,33190,0.5,0.0815941
2,-1,31226,29684,0.5,0.0815941
2,-1,31227,29684,0.5,0.0815941
2,-1,31228,29684,0.5,0.0815941
2,-1,34330,31193,0.5,0.0815941
2,-1,30463,35172,0.5,0.0815941
2,-1,30463,35173,0.5,0.0815941
2,-1,30463,35174,0.5,0.0815941
2,-1,33370,29785,0.5,0.0815941
2,-1,33370,29786,0.5,0.0815941
2,-1,33370,31255,0.5,0.0815941
2,-1,33370,31260,0.5,0.0815941
2,-1,29785,31255,0.5,0.0815941
2,-1,29785,31260,0.5,0.0815941
2,-1,29786,31255,0.5,0.0815941
2,-1,29786,31260,0.5,0.0815941
2,-1,32241,32716,0.5,0.0815941
2,-1,31361,32459,0.5,0.0815941
2,-1,31361,32461,0.5,0.0815941
