id,sex, age, ecactivity, worktype, commutetime, town, x, y, apartment
82,M,61,working,education,not commuting,Ho,-564628,-1.20269e+06,1644
83,F,58,working,tradeandmoto,not commuting,Ho,-564628,-1.20269e+06,1644
84,F,68,retired,undef,not commuting,Ho,-563383,-1.20153e+06,1562
85,F,20,student,undef,not commuting,Ho,-563843,-1.20262e+06,1791
86,F,22,working,industry,not commuting,Ho,-563843,-1.20262e+06,1791
87,F,2,at home,undef,not commuting,Ho,-563773,-1.20273e+06,1727
88,F,26,at home,undef,not commuting,Ho,-563773,-1.20273e+06,1727
89,M,25,at home,undef,not commuting,Ho,-563773,-1.20273e+06,1727
90,M,17,student,undef,not commuting,Ho,-565407,-1.20208e+06,1633
91,M,28,working,transportation,not commuting,Ho,-565798,-1.20175e+06,1648
92,F,24,student,undef,not commuting,Ho,-565798,-1.20175e+06,1648
93,F,2,at home,undef,not commuting,Ho,-565798,-1.20175e+06,1648
94,F,44,working,health,45 to 60 mins,Ho,-563697,-1.20248e+06,1680
95,M,2,at home,undef,not commuting,Ho,-564058,-1.20291e+06,171
96,F,28,at home,undef,not commuting,Ho,-564058,-1.20291e+06,171
97,M,20,student,undef,not commuting,Ho,-565256,-1.20168e+06,1287
98,F,43,working,adminetc,not commuting,Ho,-565256,-1.20168e+06,1287
99,M,24,student,undef,not commuting,Ho,-565256,-1.20168e+06,1287
100,M,22,at home,undef,not commuting,Ho,-565256,-1.20168e+06,1287
101,F,73,working,tradeandmoto,not commuting,Ho,-563956,-1.20191e+06,689
102,M,65,retired,undef,not commuting,Ho,-565111,-1.20165e+06,1897
103,F,54,working,adminetc,not commuting,Ho,-565111,-1.20165e+06,1897
104,F,36,working,industry,not commuting,Ho,-565111,-1.20165e+06,1897
105,F,50,at home,undef,not commuting,Ho,-564289,-1.20234e+06,1818
106,M,11,student,undef,not commuting,Ho,-564289,-1.20234e+06,1818
107,F,22,working,industry,not commuting,Ho,-564289,-1.20234e+06,1818
108,M,51,working,tradeandmoto,not commuting,Ho,-564289,-1.20234e+06,1818
109,M,29,at home,undef,not commuting,Ho,-564289,-1.20234e+06,1818
110,F,67,retired,undef,not commuting,Ho,-564929,-1.2017e+06,1389
111,F,74,retired,undef,not commuting,Ho,-564917,-1.20184e+06,1391
112,M,43,at home,undef,not commuting,Ho,-564917,-1.20184e+06,1391
113,M,75,working,industry,not commuting,Ho,-564917,-1.20184e+06,1391
114,F,4,at home,undef,not commuting,Ho,-563767,-1.20298e+06,1757
115,F,29,at home,undef,not commuting,Ho,-563767,-1.20298e+06,1757
116,M,38,working,industry,not commuting,Ho,-565459,-1.20184e+06,1271
117,F,32,working,industry,30 to 45 mins,Ho,-565459,-1.20184e+06,1271
118,F,8,student,undef,not commuting,Ho,-565459,-1.20184e+06,1271
119,M,2,at home,undef,not commuting,Ho,-565459,-1.20184e+06,1271
120,F,37,at home,undef,not commuting,Ho,-565111,-1.20165e+06,1897
121,M,7,student,undef,not commuting,Ho,-565111,-1.20165e+06,1897
122,F,79,retired,undef,not commuting,Ho,-565111,-1.20165e+06,1897
123,M,25,working,education,not commuting,Ho,-565688,-1.20215e+06,1748
124,M,48,working,it,not commuting,Ho,-565688,-1.20215e+06,1748
125,F,71,retired,undef,not commuting,Ho,-565688,-1.20215e+06,1748
126,M,27,working,tradeandmoto,not commuting,Ho,-563614,-1.20255e+06,1685
127,F,28,at home,undef,not commuting,Ho,-563614,-1.20255e+06,1685
128,M,26,at home,undef,not commuting,Ho,-565688,-1.20215e+06,1748
129,M,65,retired,undef,not commuting,Ho,-565688,-1.20215e+06,1748
130,F,59,retired,undef,not commuting,Ho,-563687,-1.2019e+06,1566
131,M,58,working,adminetc,not commuting,Ho,-563687,-1.2019e+06,1566
132,M,38,working,industry,not commuting,Ho,-565342,-1.20157e+06,1276
133,F,27,at home,undef,not commuting,Ho,-565342,-1.20157e+06,1276
134,F,5,at home,undef,not commuting,Ho,-565342,-1.20157e+06,1276
135,F,26,working,industry,not commuting,Ho,-565646,-1.20203e+06,1334
136,M,27,working,it,30 to 45 mins,Ho,-565646,-1.20203e+06,1334
137,M,1,at home,undef,not commuting,Ho,-563841,-1.20291e+06,1779
138,F,35,working,industry,not commuting,Ho,-563841,-1.20291e+06,1779
139,F,14,student,undef,not commuting,Ho,-563841,-1.20291e+06,1779
140,M,31,working,tradeandmoto,not commuting,Ho,-563841,-1.20291e+06,1779
141,F,68,retired,undef,not commuting,Ho,-563700,-1.20264e+06,1723
142,M,40,working,adminetc,not commuting,Ho,-563700,-1.20264e+06,1723
143,F,57,retired,undef,not commuting,Ho,-565830,-1.20221e+06,1495
144,F,22,student,undef,not commuting,Ho,-565830,-1.20221e+06,1495
145,M,58,working,construction,not commuting,Ho,-563383,-1.20153e+06,1562
146,F,57,retired,undef,not commuting,Ho,-563383,-1.20153e+06,1562
147,F,71,retired,undef,not commuting,Ho,-564178,-1.20169e+06,1130
148,F,68,retired,undef,not commuting,Ho,-564791,-1.20187e+06,1394
149,F,65,retired,undef,not commuting,Ho,-564636,-1.20262e+06,1553
150,M,66,retired,undef,not commuting,Ho,-564636,-1.20262e+06,1553
151,F,59,working,industry,not commuting,Ho,-563708,-1.20295e+06,1753
152,M,60,working,industry,not commuting,Ho,-563708,-1.20295e+06,1753
153,F,77,retired,undef,not commuting,Ho,-565459,-1.20184e+06,1271
154,M,32,working,construction,not commuting,Ho,-563700,-1.20264e+06,1723
155,M,24,student,undef,not commuting,Ho,-563616,-1.20226e+06,1677
156,F,21,working,industry,15 to 30 min,Ho,-563616,-1.20226e+06,1677
157,M,59,retired,undef,not commuting,Ho,-563644,-1.20265e+06,1734
158,F,59,working,tradeandmoto,not commuting,Ho,-563644,-1.20265e+06,1734
159,F,8,student,undef,not commuting,Ho,-564710,-1.20222e+06,885
160,M,41,working,eatinghousing,not commuting,Ho,-564710,-1.20222e+06,885
161,F,34,at home,undef,not commuting,Ho,-564710,-1.20222e+06,885
162,F,6,student,undef,not commuting,Ho,-564710,-1.20222e+06,885
163,M,31,working,industry,not commuting,Ho,-564867,-1.20168e+06,1386
164,M,38,working,industry,not commuting,Ho,-563614,-1.20255e+06,1685
165,F,25,working,tradeandmoto,45 to 60 mins,Ho,-563614,-1.20255e+06,1685
166,M,67,working,industry,not commuting,Ho,-565270,-1.20172e+06,1264
167,F,67,retired,undef,not commuting,Ho,-565270,-1.20172e+06,1264
168,F,67,retired,undef,not commuting,Ho,-564241,-1.20266e+06,2014
169,M,71,retired,undef,not commuting,Ho,-564241,-1.20266e+06,2014
170,F,66,retired,undef,not commuting,Ho,-564070,-1.2022e+06,514
171,F,53,at home,undef,not commuting,Ho,-564584,-1.20153e+06,2012
172,M,23,working,eatinghousing,15 to 30 min,Ho,-564584,-1.20153e+06,2012
173,M,51,at home,undef,not commuting,Ho,-564584,-1.20153e+06,2012
174,M,77,retired,undef,not commuting,Ho,-564039,-1.20328e+06,2073
175,M,67,retired,undef,not commuting,Ho,-564636,-1.20262e+06,1553
176,F,65,retired,undef,not commuting,Ho,-564636,-1.20262e+06,1553
177,M,44,working,industry,not commuting,Ho,-562943,-1.20169e+06,1521
178,F,42,at home,undef,not commuting,Ho,-562943,-1.20169e+06,1521
179,M,19,student,undef,not commuting,Ho,-562943,-1.20169e+06,1521
180,F,63,retired,undef,not commuting,Ho,-564447,-1.203e+06,1746
181,M,67,retired,undef,not commuting,Ho,-564447,-1.203e+06,1746
182,M,69,retired,undef,not commuting,Ho,-564462,-1.20273e+06,958
183,M,61,retired,undef,not commuting,Ho,-564373,-1.2023e+06,347
184,M,18,working,adminetc,not commuting,Ho,-564373,-1.2023e+06,347
185,F,41,at home,undef,not commuting,Ho,-564373,-1.2023e+06,347
186,F,12,student,undef,not commuting,Ho,-564373,-1.2023e+06,347
187,M,60,retired,undef,not commuting,Ho,-564457,-1.2023e+06,1653
188,F,60,retired,undef,not commuting,Ho,-564457,-1.2023e+06,1653
189,F,55,retired,undef,not commuting,Ho,-565203,-1.2016e+06,1435
190,M,19,student,undef,not commuting,Ho,-565203,-1.2016e+06,1435
191,F,34,working,it,not commuting,Ho,-565203,-1.2016e+06,1435
192,M,45,working,transportation,not commuting,Ho,-565568,-1.20162e+06,1315
193,F,56,retired,undef,not commuting,Ho,-565568,-1.20162e+06,1315
194,F,20,working,tradeandmoto,not commuting,Ho,-565568,-1.20162e+06,1315
195,F,61,working,tradeandmoto,not commuting,Ho,-563825,-1.20301e+06,1543
196,M,59,retired,undef,not commuting,Ho,-564288,-1.20326e+06,1714
197,F,57,retired,undef,not commuting,Ho,-564288,-1.20326e+06,1714
198,M,60,retired,undef,not commuting,Ho,-563383,-1.20153e+06,1562
199,M,27,working,adminetc,not commuting,Ho,-563383,-1.20153e+06,1562
200,M,63,working,tradeandmoto,not commuting,Ho,-563741,-1.20305e+06,1754
201,F,64,retired,undef,not commuting,Ho,-563741,-1.20305e+06,1754
202,F,59,retired,undef,not commuting,Ho,-563613,-1.2018e+06,1555
203,F,0,at home,undef,not commuting,Ho,-563613,-1.2018e+06,1555
204,F,29,at home,undef,not commuting,Ho,-563613,-1.2018e+06,1555
205,F,6,student,undef,not commuting,Ho,-563613,-1.2018e+06,1555
206,M,58,working,education,not commuting,Ho,-563613,-1.2018e+06,1555
207,M,37,at home,undef,not commuting,Ho,-563613,-1.2018e+06,1555
208,M,61,retired,undef,not commuting,Ho,-562961,-1.2017e+06,1520
209,F,58,retired,undef,not commuting,Ho,-562961,-1.2017e+06,1520
210,M,64,working,banks,not commuting,Ho,-565502,-1.20163e+06,1616
211,F,65,retired,undef,not commuting,Ho,-565502,-1.20163e+06,1616
212,M,31,working,adminetc,not commuting,Ho,-565761,-1.20173e+06,1322
213,F,62,retired,undef,not commuting,Ho,-565191,-1.20191e+06,1209
214,M,20,working,health,not commuting,Ho,-565610,-1.20171e+06,1253
215,F,46,at home,undef,not commuting,Ho,-565610,-1.20171e+06,1253
216,M,22,working,industry,not commuting,Ho,-565610,-1.20171e+06,1253
217,M,35,working,eatinghousing,not commuting,Ho,-563679,-1.20256e+06,1683
218,F,47,at home,undef,not commuting,Ho,-564950,-1.20113e+06,127
219,M,66,retired,undef,not commuting,Ho,-564563,-1.20296e+06,98
220,F,61,retired,undef,not commuting,Ho,-564563,-1.20296e+06,98
221,M,34,working,tradeandmoto,not commuting,Ho,-564891,-1.20162e+06,1383
222,M,75,retired,undef,not commuting,Ho,-564066,-1.2023e+06,447
223,F,70,retired,undef,not commuting,Ho,-564066,-1.2023e+06,447
224,F,39,at home,undef,not commuting,Ho,-565245,-1.20193e+06,1228
225,M,14,student,undef,not commuting,Ho,-565245,-1.20193e+06,1228
226,F,16,student,undef,30 to 45 mins,Ho,-565245,-1.20193e+06,1228
227,F,68,retired,undef,not commuting,Ho,-564913,-1.20156e+06,1380
228,M,63,retired,undef,not commuting,Ho,-564913,-1.20156e+06,1380
229,M,44,working,education,not commuting,Ho,-564461,-1.20286e+06,1551
230,F,65,retired,undef,not commuting,Ho,-564461,-1.20286e+06,1551
231,M,40,working,publicsector,not commuting,Ho,-564694,-1.20265e+06,1643
232,M,15,student,undef,not commuting,Ho,-564694,-1.20265e+06,1643
233,F,38,working,banks,not commuting,Ho,-564694,-1.20265e+06,1643
234,M,9,student,undef,not commuting,Ho,-564694,-1.20265e+06,1643
235,M,9,student,undef,not commuting,Ho,-563915,-1.2027e+06,1773
236,M,12,student,undef,not commuting,Ho,-563915,-1.2027e+06,1773
237,F,42,working,industry,45 to 60 mins,Ho,-563915,-1.2027e+06,1773
238,M,68,retired,undef,not commuting,Ho,-563811,-1.20256e+06,1777
239,F,63,retired,undef,not commuting,Ho,-563811,-1.20256e+06,1777
240,F,29,at home,undef,not commuting,Ho,-563667,-1.20164e+06,1569
241,F,55,working,tradeandmoto,not commuting,Ho,-564111,-1.20225e+06,1800
242,M,59,retired,undef,not commuting,Ho,-564111,-1.20225e+06,1800
243,F,84,retired,undef,not commuting,Ho,-565574,-1.20211e+06,1351
244,F,26,working,construction,30 to 45 mins,Ho,-563938,-1.20204e+06,1100
245,M,55,working,industry,not commuting,Ho,-565295,-1.20155e+06,1277
246,F,87,retired,undef,not commuting,Ho,-563659,-1.20235e+06,1678
247,F,39,working,transportation,not commuting,Ho,-563712,-1.2029e+06,1752
248,M,40,at home,undef,not commuting,Ho,-563712,-1.2029e+06,1752
249,M,15,student,undef,15 to 30 min,Ho,-563712,-1.2029e+06,1752
250,M,14,student,undef,not commuting,Ho,-563712,-1.2029e+06,1752
251,F,66,retired,undef,not commuting,Ho,-563433,-1.20161e+06,1560
252,M,64,retired,undef,not commuting,Ho,-563433,-1.20161e+06,1560
253,M,22,at home,undef,not commuting,Ho,-563433,-1.20161e+06,1560
254,M,62,retired,undef,not commuting,Ho,-564413,-1.2012e+06,2100
255,F,31,working,industry,not commuting,Ho,-564413,-1.2012e+06,2100
256,F,63,retired,undef,not commuting,Ho,-564413,-1.2012e+06,2100
257,M,31,working,health,not commuting,Ho,-564989,-1.20166e+06,1376
258,M,31,working,publicsector,not commuting,Ho,-564989,-1.20166e+06,1376
259,M,34,working,industry,not commuting,Ho,-564989,-1.20166e+06,1376
260,F,36,at home,undef,not commuting,Ho,-563665,-1.20195e+06,1567
261,F,58,working,industry,not commuting,Ho,-564636,-1.20262e+06,1553
262,M,34,working,construction,not commuting,Ho,-564636,-1.20262e+06,1553
263,F,27,working,tradeandmoto,not commuting,Ho,-564190,-1.20234e+06,682
264,M,28,working,transportation,not commuting,Ho,-564190,-1.20234e+06,682
265,F,25,at home,undef,not commuting,Ho,-564190,-1.20234e+06,682
266,M,52,working,transportation,less than 15min,Ho,-564277,-1.20166e+06,1293
267,F,54,working,publicsector,not commuting,Ho,-564972,-1.20186e+06,1393
268,M,60,working,industry,not commuting,Ho,-564972,-1.20186e+06,1393
269,F,19,at home,undef,not commuting,Ho,-564972,-1.20186e+06,1393
270,M,59,retired,undef,not commuting,Ho,-563773,-1.20301e+06,1756
271,F,58,retired,undef,not commuting,Ho,-563773,-1.20301e+06,1756
272,F,57,retired,undef,not commuting,Ho,-563802,-1.20179e+06,1257
273,M,61,retired,undef,not commuting,Ho,-563802,-1.20179e+06,1257
274,M,37,working,industry,not commuting,Ho,-563802,-1.20179e+06,1257
275,M,28,at home,undef,not commuting,Ho,-564917,-1.20184e+06,1391
276,F,51,working,tradeandmoto,15 to 30 min,Ho,-564917,-1.20184e+06,1391
277,F,54,working,transportation,not commuting,Ho,-563659,-1.20235e+06,1678
278,M,55,working,publicsector,not commuting,Ho,-563659,-1.20235e+06,1678
279,F,59,retired,undef,not commuting,Ho,-565835,-1.20176e+06,1650
280,M,62,retired,undef,not commuting,Ho,-563741,-1.20305e+06,1754
281,M,62,working,banks,not commuting,Ho,-565234,-1.20179e+06,1355
282,F,60,working,education,not commuting,Ho,-565234,-1.20179e+06,1355
283,M,32,working,industry,not commuting,Ho,-565234,-1.20179e+06,1355
284,M,65,retired,undef,not commuting,Ho,-563971,-1.20262e+06,2153
285,F,64,retired,undef,not commuting,Ho,-563951,-1.20251e+06,1541
286,M,66,retired,undef,not commuting,Ho,-563951,-1.20251e+06,1541
287,F,61,retired,undef,not commuting,Ho,-563644,-1.20265e+06,1734
288,F,56,working,industry,not commuting,Ho,-562750,-1.20168e+06,1707
289,F,57,working,tradeandmoto,30 to 45 mins,Ho,-564628,-1.20269e+06,1644
290,M,24,working,publicsector,30 to 45 mins,Ho,-564628,-1.20269e+06,1644
291,F,56,retired,undef,not commuting,Ho,-564511,-1.20229e+06,1891
292,M,59,working,tradeandmoto,not commuting,Ho,-564511,-1.20229e+06,1891
293,M,73,retired,undef,not commuting,Ho,-563575,-1.20175e+06,1570
294,F,70,retired,undef,not commuting,Ho,-563575,-1.20175e+06,1570
295,M,40,working,publicsector,not commuting,Ho,-563575,-1.20175e+06,1570
296,M,34,working,publicsector,not commuting,Ho,-565581,-1.20166e+06,1247
297,F,5,at home,undef,not commuting,Ho,-565581,-1.20166e+06,1247
298,M,4,at home,undef,not commuting,Ho,-565581,-1.20166e+06,1247
299,F,31,working,adminetc,not commuting,Ho,-565581,-1.20166e+06,1247
300,F,49,working,industry,not commuting,Ho,-563513,-1.20181e+06,2006
301,M,12,student,undef,not commuting,Ho,-563513,-1.20181e+06,2006
302,M,55,retired,undef,not commuting,Ho,-563513,-1.20181e+06,2006
303,F,70,retired,undef,not commuting,Ho,-563383,-1.20153e+06,1562
304,M,56,retired,undef,not commuting,Ho,-563819,-1.20271e+06,1728
305,F,55,retired,undef,not commuting,Ho,-563819,-1.20271e+06,1728
306,F,79,retired,undef,not commuting,Ho,-564694,-1.20265e+06,1643
307,M,48,working,industry,not commuting,Ho,-564694,-1.20265e+06,1643
308,M,58,working,adminetc,not commuting,Ho,-564005,-1.20261e+06,36
309,F,62,retired,undef,not commuting,Ho,-564005,-1.20261e+06,36
310,M,48,working,publicsector,not commuting,Ho,-563827,-1.20261e+06,1792
311,M,76,retired,undef,not commuting,Ho,-563827,-1.20261e+06,1792
312,M,62,retired,undef,not commuting,Ho,-564867,-1.20168e+06,1386
313,F,62,retired,undef,not commuting,Ho,-564867,-1.20168e+06,1386
314,M,39,working,industry,not commuting,Ho,-566068,-1.20383e+06,1761
315,M,9,student,undef,not commuting,Ho,-566068,-1.20383e+06,1761
316,F,34,working,industry,not commuting,Ho,-566068,-1.20383e+06,1761
317,M,33,working,industry,15 to 30 min,Ho,-564414,-1.20218e+06,410
318,M,47,working,publicsector,not commuting,Ho,-563872,-1.20201e+06,560
319,F,47,at home,undef,not commuting,Ho,-563872,-1.20201e+06,560
320,M,22,student,undef,30 to 45 mins,Ho,-563811,-1.20256e+06,1777
321,M,19,student,undef,not commuting,Ho,-563811,-1.20256e+06,1777
322,F,27,at home,undef,not commuting,Ho,-563741,-1.20305e+06,1754
323,M,32,working,adminetc,not commuting,Ho,-563741,-1.20305e+06,1754
324,M,32,working,industry,not commuting,Ho,-563667,-1.20164e+06,1569
325,F,64,retired,undef,not commuting,Ho,-563667,-1.20164e+06,1569
326,M,67,retired,undef,not commuting,Ho,-563667,-1.20164e+06,1569
327,M,33,working,industry,not commuting,Ho,-565823,-1.20216e+06,1721
328,F,64,retired,undef,not commuting,Ho,-565823,-1.20216e+06,1721
329,F,35,working,health,not commuting,Ho,-564389,-1.20249e+06,1652
330,F,13,student,undef,not commuting,Ho,-564389,-1.20249e+06,1652
331,F,52,working,industry,not commuting,Ho,-563681,-1.20225e+06,1675
332,F,14,student,undef,not commuting,Ho,-563681,-1.20225e+06,1675
333,M,51,working,publicsector,not commuting,Ho,-563681,-1.20225e+06,1675
334,F,21,at home,undef,not commuting,Ho,-564389,-1.20249e+06,1652
335,M,47,working,transportation,not commuting,Ho,-564389,-1.20249e+06,1652
336,F,42,working,health,not commuting,Ho,-564389,-1.20249e+06,1652
337,F,17,student,undef,not commuting,Ho,-564389,-1.20249e+06,1652
338,M,60,retired,undef,not commuting,Ho,-564051,-1.20295e+06,289
339,F,57,retired,undef,not commuting,Ho,-564051,-1.20295e+06,289
340,M,999,working,industry,not commuting,Ho,-564169,-1.20197e+06,995
341,F,34,working,industry,not commuting,Ho,-563680,-1.20285e+06,1733
342,F,2,at home,undef,not commuting,Ho,-563680,-1.20285e+06,1733
343,F,6,student,undef,not commuting,Ho,-563680,-1.20285e+06,1733
344,F,12,student,undef,not commuting,Ho,-563680,-1.20285e+06,1733
345,M,12,student,undef,not commuting,Ho,-564189,-1.20283e+06,68
346,F,34,at home,undef,not commuting,Ho,-564189,-1.20283e+06,68
347,F,13,student,undef,not commuting,Ho,-564189,-1.20283e+06,68
348,M,7,student,undef,not commuting,Ho,-563775,-1.20191e+06,1227
349,F,32,working,industry,15 to 30 min,Ho,-563775,-1.20191e+06,1227
350,M,25,at home,undef,not commuting,Ho,-563885,-1.20292e+06,1758
351,F,47,at home,undef,not commuting,Ho,-563885,-1.20292e+06,1758
352,M,47,working,banks,not commuting,Ho,-563885,-1.20292e+06,1758
353,F,38,working,tradeandmoto,not commuting,Ho,-563365,-1.20146e+06,1565
354,M,23,student,undef,not commuting,Ho,-565270,-1.20172e+06,1264
355,F,46,working,industry,not commuting,Ho,-565270,-1.20172e+06,1264
356,F,42,working,construction,not commuting,Ho,-565952,-1.20229e+06,2068
357,F,21,student,undef,not commuting,Ho,-565952,-1.20229e+06,2068
358,F,20,student,undef,not commuting,Ho,-565952,-1.20229e+06,2068
359,M,44,working,industry,not commuting,Ho,-565952,-1.20229e+06,2068
360,M,43,at home,undef,not commuting,Ho,-563773,-1.20301e+06,1756
361,F,63,retired,undef,not commuting,Ho,-563773,-1.20301e+06,1756
362,M,52,working,industry,not commuting,Ho,-563773,-1.20301e+06,1756
363,M,12,student,undef,not commuting,Ho,-563644,-1.20265e+06,1734
364,F,8,student,undef,not commuting,Ho,-563644,-1.20265e+06,1734
365,M,44,working,tradeandmoto,not commuting,Ho,-563644,-1.20265e+06,1734
366,F,64,retired,undef,not commuting,Ho,-564891,-1.20162e+06,1383
367,M,73,retired,undef,not commuting,Ho,-564891,-1.20162e+06,1383
368,M,17,student,undef,not commuting,Ho,-564989,-1.20166e+06,1376
369,M,49,working,publicsector,not commuting,Ho,-564989,-1.20166e+06,1376
370,F,41,at home,undef,not commuting,Ho,-564989,-1.20166e+06,1376
371,M,19,student,undef,not commuting,Ho,-564989,-1.20166e+06,1376
372,F,22,student,undef,not commuting,Ho,-564818,-1.20172e+06,1395
373,F,44,working,tradeandmoto,not commuting,Ho,-564818,-1.20172e+06,1395
374,M,50,working,industry,not commuting,Ho,-564818,-1.20172e+06,1395
